algorithm,N,sample,runtime_s,frechet_dist,ok
DijkstraPrims,1000,0,0.106541,1000.46,True
DijkstraPrims,1000,1,0.107471,999.006,True
DijkstraPrims,1000,2,0.105873,1000.24,True
BBMSInter,1000,0,0.095832,1000.46,True
BBMSInter,1000,1,0.087806,999.006,True
BBMSInter,1000,2,0.08716,1000.24,True
BBMSDppInstant,1000,0,0.224724,1000.46,True
BBMSDppInstant,1000,1,0.220226,999.006,True
BBMSDppInstant,1000,2,0.226742,1000.24,True
DijkstraPrims,2000,0,0.492463,1000.1,True
DijkstraPrims,2000,1,0.578204,999.536,True
DijkstraPrims,2000,2,0.546868,1000.73,True
BBMSInter,2000,0,0.498056,1000.1,True
BBMSInter,2000,1,0.42981,999.536,True
BBMSInter,2000,2,0.520777,1000.73,True
BBMSDppInstant,2000,0,0.950254,1000.1,True
BBMSDppInstant,2000,1,0.98467,999.536,True
BBMSDppInstant,2000,2,0.986043,1000.73,True
DijkstraPrims,3000,0,1.25413,1000.29,True
DijkstraPrims,3000,1,1.24368,1000.3,True
DijkstraPrims,3000,2,1.23218,1000.56,True
BBMSInter,3000,0,1.27039,1000.29,True
BBMSInter,3000,1,1.12093,1000.3,True
BBMSInter,3000,2,1.16227,1000.56,True
BBMSDppInstant,3000,0,2.45422,1000.29,True
BBMSDppInstant,3000,1,2.31612,1000.3,True
BBMSDppInstant,3000,2,2.35954,1000.56,True
DijkstraPrims,4000,0,2.43773,1000.73,True
DijkstraPrims,4000,1,2.37713,1000.46,True
DijkstraPrims,4000,2,2.4178,1000.22,True
BBMSInter,4000,0,2.31782,1000.73,True
BBMSInter,4000,1,2.58142,1000.46,True
BBMSInter,4000,2,2.55974,1000.22,True
BBMSDppInstant,4000,0,4.68768,1000.73,True
BBMSDppInstant,4000,1,4.76573,1000.46,True
BBMSDppInstant,4000,2,4.59834,1000.22,True
DijkstraPrims,5000,0,4.07347,999.194,True
DijkstraPrims,5000,1,4.21365,999.612,True
DijkstraPrims,5000,2,4.16808,1000.98,True
BBMSInter,5000,0,3.78203,999.194,True
BBMSInter,5000,1,3.832,999.612,True
BBMSInter,5000,2,4.20105,1000.98,True
BBMSDppInstant,5000,0,8.72381,999.194,True
BBMSDppInstant,5000,1,9.23036,999.612,True
BBMSCore,1000,0,0.219284,1000.46,True
BBMSCore,1000,1,0.224577,999.006,True
BBMSCore,1000,2,0.205523,1000.24,True
BBMSCore,2000,0,1.43603,1000.1,True
BBMSCore,2000,1,1.46903,999.536,True
BBMSCore,2000,2,1.40596,1000.73,True
BBMSCore,3000,0,5.13853,1000.29,True
BBMSCore,3000,1,3.96117,1000.3,True
BBMSCore,3000,2,3.91258,1000.56,True
BBMSCore,4000,0,9.01499,1000.73,True
BBMSCore,4000,1,11.2773,1000.46,True
BBMSCore,4000,2,10.3997,1000.22,True
BBMSDppInstant,5000,2,8.17142,1000.98,True
BBMSCore,5000,0,18.749,999.194,True
BBMSCore,5000,1,17.6242,999.612,True
BBMSCore,5000,2,14.9497,1000.98,True
DijkstraPrims,6000,0,6.21673,999.343,True
DijkstraPrims,6000,1,6.23227,999.817,True
DijkstraPrims,6000,2,6.29893,999.621,True
BBMSInter,6000,0,6.69411,999.343,True
BBMSInter,6000,1,6.84248,999.817,True
BBMSInter,6000,2,6.93164,999.621,True
BBMSDppInstant,6000,0,13.7066,999.343,True
BBMSDppInstant,6000,1,14.4184,999.817,True
BBMSDppInstant,6000,2,13.6548,999.621,True
BBMSCore,6000,0,26.2759,999.343,True
BBMSCore,6000,1,28.1788,999.817,True
BBMSCore,6000,2,25.6489,999.621,True
DijkstraPrims,7000,0,8.74392,999.564,True
DijkstraPrims,7000,1,8.80717,1000.43,True
