algorithm,N,sample,runtime_s,frechet_dist,ok
DijkstraPrims,1000,0,0.100853,1000.46,True
DijkstraPrims,1000,1,0.098564,999.006,True
DijkstraPrims,1000,2,0.098514,1000.24,True
BBMSInter,1000,0,0.077569,1000.46,True
BBMSInter,1000,1,0.0722,999.006,True
BBMSInter,1000,2,0.072318,1000.24,True
BBMSDppStepwise,1000,0,0.18199,1000.46,True
BBMSDppStepwise,1000,1,0.184038,999.006,True
BBMSDppStepwise,1000,2,0.183392,1000.24,True
BBMSCore,1000,0,0.182464,1000.46,True
BBMSCore,1000,1,0.185328,999.006,True
BBMSCore,1000,2,0.170545,1000.24,True
BBMSDppInstant,1000,0,0.155576,1000.46,True
BBMSDppInstant,1000,1,0.154629,999.006,True
BBMSDppInstant,1000,2,0.154446,1000.24,True
DijkstraPrims,2000,0,0.443865,1000.1,True
DijkstraPrims,2000,1,0.452033,999.536,True
DijkstraPrims,2000,2,0.448433,1000.73,True
BBMSInter,2000,0,0.342823,1000.1,True
BBMSInter,2000,1,0.314869,999.536,True
BBMSInter,2000,2,0.362059,1000.73,True
BBMSDppStepwise,2000,0,0.792648,1000.1,True
BBMSDppStepwise,2000,1,0.795448,999.536,True
BBMSDppStepwise,2000,2,0.793189,1000.73,True
BBMSCore,2000,0,0.983997,1000.1,True
BBMSCore,2000,1,1.03552,999.536,True
BBMSCore,2000,2,0.975077,1000.73,True
BBMSDppInstant,2000,0,0.678309,1000.1,True
BBMSDppInstant,2000,1,0.681742,999.536,True
BBMSDppInstant,2000,2,0.676784,1000.73,True
DijkstraPrims,3000,0,1.17179,1000.29,True
DijkstraPrims,3000,1,1.18589,1000.3,True
DijkstraPrims,3000,2,1.18219,1000.56,True
BBMSInter,3000,0,0.856287,1000.29,True
BBMSInter,3000,1,0.775827,1000.3,True
BBMSInter,3000,2,0.781674,1000.56,True
BBMSDppStepwise,3000,0,1.90115,1000.29,True
BBMSDppStepwise,3000,1,2.01515,1000.3,True
BBMSDppStepwise,3000,2,1.88796,1000.56,True
BBMSCore,3000,0,3.15001,1000.29,True
BBMSCore,3000,1,2.48514,1000.3,True
BBMSCore,3000,2,2.50482,1000.56,True
BBMSDppInstant,3000,0,1.72943,1000.29,True
BBMSDppInstant,3000,1,1.722,1000.3,True
BBMSDppInstant,3000,2,1.67645,1000.56,True
DijkstraPrims,4000,0,2.35021,1000.73,True
DijkstraPrims,4000,1,2.30494,1000.46,True
DijkstraPrims,4000,2,2.33212,1000.22,True
BBMSInter,4000,0,1.59748,1000.73,True
BBMSInter,4000,1,1.76049,1000.46,True
BBMSInter,4000,2,1.79974,1000.22,True
BBMSDppStepwise,4000,0,3.4839,1000.73,True
BBMSDppStepwise,4000,1,3.57277,1000.46,True
BBMSDppStepwise,4000,2,3.51902,1000.22,True
BBMSCore,4000,0,5.65737,1000.73,True
BBMSCore,4000,1,8.16903,1000.46,True
BBMSCore,4000,2,7.07206,1000.22,True
BBMSDppInstant,4000,0,3.29127,1000.73,True
BBMSDppInstant,4000,1,3.32927,1000.46,True
BBMSDppInstant,4000,2,3.25834,1000.22,True
DijkstraPrims,5000,0,4.04234,999.194,True
DijkstraPrims,5000,1,4.01997,999.612,True
DijkstraPrims,5000,2,3.99908,1000.98,True
BBMSInter,5000,0,2.67868,999.194,True
BBMSInter,5000,1,2.64764,999.612,True
BBMSInter,5000,2,2.97176,1000.98,True
BBMSDppStepwise,5000,0,5.74812,999.194,True
BBMSDppStepwise,5000,1,5.73521,999.612,True
BBMSDppStepwise,5000,2,5.66837,1000.98,True
BBMSCore,5000,0,13.9729,999.194,True
BBMSCore,5000,1,13.9969,999.612,True
BBMSCore,5000,2,11.4203,1000.98,True
BBMSDppInstant,5000,0,5.34948,999.194,True
BBMSDppInstant,5000,1,5.43781,999.612,True
BBMSDppInstant,5000,2,5.39721,1000.98,True
DijkstraPrims,6000,0,6.14966,999.343,True
DijkstraPrims,6000,1,6.10562,999.817,True
DijkstraPrims,6000,2,6.12752,999.621,True
BBMSInter,6000,0,5.01628,999.343,True
BBMSInter,6000,1,4.90121,999.817,True
BBMSInter,6000,2,4.48555,999.621,True
BBMSDppStepwise,6000,0,8.65157,999.343,True
BBMSDppStepwise,6000,1,8.64569,999.817,True
BBMSDppStepwise,6000,2,8.62624,999.621,True
BBMSCore,6000,0,26.027,999.343,True
BBMSCore,6000,1,32.2325,999.817,True
BBMSCore,6000,2,25.8038,999.621,True
BBMSDppInstant,6000,0,8.8021,999.343,True
BBMSDppInstant,6000,1,8.95781,999.817,True
BBMSDppInstant,6000,2,8.68787,999.621,True
DijkstraPrims,7000,0,8.75204,999.564,True
DijkstraPrims,7000,1,8.90468,1000.43,True
DijkstraPrims,7000,2,8.7791,999.023,True
BBMSInter,7000,0,8.06819,999.564,True
BBMSInter,7000,1,5.42729,1000.43,True
BBMSInter,7000,2,6.08034,999.023,True
BBMSDppStepwise,7000,0,12.905,999.564,True
BBMSDppStepwise,7000,1,11.9908,1000.43,True
BBMSDppStepwise,7000,2,12.0551,999.023,True
BBMSCore,7000,0,58.7694,999.564,True
BBMSCore,7000,1,38.9156,1000.43,True
BBMSCore,7000,2,42.0125,999.023,True
BBMSDppInstant,7000,0,13.3664,999.564,True
BBMSDppInstant,7000,1,12.8025,1000.43,True
BBMSDppInstant,7000,2,12.6971,999.023,True
DijkstraPrims,8000,0,12.0922,1000.14,True
DijkstraPrims,8000,1,12.046,1000.62,True
DijkstraPrims,8000,2,12.0117,999.546,True
BBMSInter,8000,0,10.0667,1000.14,True
BBMSInter,8000,1,10.2097,1000.62,True
BBMSInter,8000,2,9.69639,999.546,True
BBMSDppStepwise,8000,0,18.6582,1000.14,True
BBMSDppStepwise,8000,1,18.5342,1000.62,True
BBMSDppStepwise,8000,2,18.6386,999.546,True
