algorithm,N,sample,runtime_s,frechet_dist,ok
DijkstraPrims,1000,0,0.123172,1000.46,True
DijkstraPrims,1000,1,0.12583,999.006,True
DijkstraPrims,1000,2,0.108681,1000.24,True
BBMSCore,1000,0,0.224469,1000.46,True
BBMSCore,1000,1,0.215053,999.006,True
BBMSCore,1000,2,0.212247,1000.24,True
DijkstraPrims,2000,0,0.504427,1000.1,True
DijkstraPrims,2000,1,0.543678,999.536,True
DijkstraPrims,2000,2,0.490601,1000.73,True
BBMSCore,2000,0,1.45551,1000.1,True
BBMSCore,2000,1,1.47703,999.536,True
BBMSCore,2000,2,1.38284,1000.73,True
DijkstraPrims,3000,0,1.21673,1000.29,True
DijkstraPrims,3000,1,1.2593,1000.3,True
DijkstraPrims,3000,2,1.21766,1000.56,True
BBMSCore,3000,0,4.31099,1000.29,True
BBMSCore,3000,1,3.65208,1000.3,True
BBMSCore,3000,2,3.91561,1000.56,True
DijkstraPrims,4000,0,2.61065,1000.73,True
DijkstraPrims,4000,1,2.36518,1000.46,True
DijkstraPrims,4000,2,2.52376,1000.22,True
BBMSCore,4000,0,7.89674,1000.73,True
BBMSCore,4000,1,10.8488,1000.46,True
BBMSCore,4000,2,9.8051,1000.22,True
DijkstraPrims,5000,0,4.36017,999.194,True
DijkstraPrims,5000,1,5.58357,999.612,True
DijkstraPrims,5000,2,4.73177,1000.98,True
BBMSCore,5000,0,15.4463,999.194,True
BBMSCore,5000,1,17.7238,999.612,True
BBMSCore,5000,2,15.577,1000.98,True
DijkstraPrims,6000,0,6.57933,999.343,True
DijkstraPrims,6000,1,6.62311,999.817,True
DijkstraPrims,6000,2,6.58272,999.621,True
BBMSCore,6000,0,33.2369,999.343,True
BBMSCore,6000,1,34.8307,999.817,True
BBMSCore,6000,2,31.1066,999.621,True
DijkstraPrims,7000,0,10.0065,999.564,True
DijkstraPrims,7000,1,9.82043,1000.43,True
DijkstraPrims,7000,2,9.69901,999.023,True
BBMSCore,7000,0,59.426,999.564,True
BBMSCore,7000,1,45.5561,1000.43,True
BBMSCore,7000,2,47.861,999.023,True
DijkstraPrims,8000,0,12.9064,1000.14,True
DijkstraPrims,8000,1,12.6252,1000.62,True
DijkstraPrims,8000,2,13.3482,999.546,True
BBMSCore,8000,0,80.5341,1000.14,True
BBMSCore,8000,1,52.7148,1000.62,True
BBMSCore,8000,2,56.3797,999.546,True
DijkstraPrims,9000,0,15.8194,1000.08,True
DijkstraPrims,9000,1,15.8759,999.593,True
DijkstraPrims,9000,2,16.7439,1000.57,True
BBMSCore,9000,0,103.796,1000.08,True
BBMSCore,9000,1,85.6733,999.593,True
BBMSCore,9000,2,75.0344,1000.57,True
DijkstraPrims,10000,0,20.9362,1000.35,True
DijkstraPrims,10000,1,20.0025,1000.66,True
DijkstraPrims,10000,2,20.2871,1000.51,True
BBMSCore,10000,0,98.5844,1000.35,True
BBMSCore,10000,1,140.936,1000.66,True
BBMSCore,10000,2,149.311,1000.51,True
DijkstraPrims,11000,0,26.2537,1000.57,True
DijkstraPrims,11000,1,25.8945,1000.73,True
DijkstraPrims,11000,2,26.9273,1000.12,True
BBMSCore,11000,0,163.408,1000.57,True
BBMSCore,11000,1,145.91,1000.73,True
BBMSCore,11000,2,161.008,1000.12,True
DijkstraPrims,12000,0,31.5875,999.248,True
DijkstraPrims,12000,1,35.8987,999.981,True
DijkstraPrims,12000,2,32.1353,1000.59,True
BBMSCore,12000,0,207.727,999.248,True
BBMSCore,12000,1,211.951,999.981,True
BBMSInter,1000,0,0.103196,1000.46,True
BBMSInter,1000,1,0.098241,999.006,True
BBMSInter,1000,2,0.09409,1000.24,True
BBMSInter,2000,0,0.594333,1000.1,True
BBMSInter,2000,1,0.52344,999.536,True
BBMSInter,2000,2,0.620204,1000.73,True
BBMSInter,3000,0,1.57681,1000.29,True
BBMSInter,3000,1,1.17114,1000.3,True
BBMSInter,3000,2,1.18292,1000.56,True
BBMSInter,4000,0,2.42977,1000.73,True
BBMSInter,4000,1,2.72965,1000.46,True
BBMSInter,4000,2,2.98092,1000.22,True
BBMSInter,5000,0,3.99353,999.194,True
BBMSInter,5000,1,3.78727,999.612,True
BBMSInter,5000,2,4.5414,1000.98,True
BBMSInter,6000,0,9.21055,999.343,True
BBMSInter,6000,1,6.8814,999.817,True
BBMSInter,6000,2,6.64114,999.621,True
BBMSInter,7000,0,9.75544,999.564,True
BBMSInter,7000,1,7.78971,1000.43,True
BBMSInter,7000,2,10.0981,999.023,True
BBMSInter,8000,0,12.5089,1000.14,True
BBMSInter,8000,1,13.7633,1000.62,True
BBMSInter,8000,2,12.0403,999.546,True
BBMSInter,9000,0,19.5923,1000.08,True
BBMSInter,9000,1,23.5149,999.593,True
BBMSInter,9000,2,14.0152,1000.57,True
BBMSInter,10000,0,15.4145,1000.35,True
BBMSInter,10000,1,26.3132,1000.66,True
BBMSInter,10000,2,28.8339,1000.51,True
BBMSInter,11000,0,36.6157,1000.57,True
BBMSInter,11000,1,29.9852,1000.73,True
BBMSInter,11000,2,31.3365,1000.12,True
BBMSCore,12000,2,215.58,1000.59,True
BBMSInter,12000,0,48.3374,999.248,True
BBMSInter,12000,0,60.8077,999.248,True
BBMSInter,12000,1,34.1305,999.981,True
BBMSInter,12000,2,51.998,1000.59,True
DijkstraPrims,13000,0,38.7283,999.759,True
DijkstraPrims,13000,1,36.1363,999.363,True
DijkstraPrims,13000,2,39.8024,999.216,True
BBMSInter,13000,0,48.965,999.759,True
BBMSInter,13000,1,34.1084,999.363,True
BBMSInter,13000,2,68.84,999.216,True
DijkstraPrims,14000,0,44.8337,999.01,True
DijkstraPrims,14000,1,44.6487,1000.69,True
DijkstraPrims,14000,2,42.2427,999.494,True
BBMSInter,14000,0,58.4412,999.01,True
BBMSInter,14000,1,59.1275,1000.69,True
BBMSInter,14000,2,57.9744,999.494,True
DijkstraPrims,15000,0,50.2628,1000.49,True
DijkstraPrims,15000,1,49.6369,999.344,True
DijkstraPrims,15000,2,50.1415,999.369,True
BBMSInter,15000,0,83.2042,1000.49,True
BBMSInter,15000,1,105.955,999.344,True
BBMSInter,15000,2,87.3218,999.369,True
DijkstraPrims,16000,0,57.7936,999.481,True
DijkstraPrims,16000,1,56.8161,999.264,True
DijkstraPrims,16000,2,61.2877,999.292,True
BBMSInter,16000,0,94.8371,999.481,True
BBMSInter,16000,1,138.528,999.264,True
BBMSInter,16000,2,149.884,999.292,True
DijkstraPrims,17000,0,69.1482,999.106,True
DijkstraPrims,17000,1,68.4443,1000.09,True
DijkstraPrims,17000,2,69.1539,999.481,True
BBMSInter,17000,0,125.359,999.106,True
BBMSInter,17000,1,181.954,1000.09,True
BBMSDppInstant,1000,0,0.231449,1000.46,True
BBMSDppInstant,1000,1,0.244338,999.006,True
BBMSDppInstant,1000,2,0.233461,1000.24,True
BBMSDppInstant,2000,0,0.989221,1000.1,True
BBMSDppInstant,2000,1,1.05376,999.536,True
BBMSDppInstant,2000,2,1.02333,1000.73,True
BBMSDppInstant,3000,0,2.49716,1000.29,True
BBMSDppInstant,3000,1,2.58682,1000.3,True
BBMSDppInstant,3000,2,2.47932,1000.56,True
BBMSDppInstant,4000,0,5.89812,1000.73,True
BBMSDppInstant,4000,1,6.00591,1000.46,True
BBMSDppInstant,4000,2,5.97584,1000.22,True
BBMSDppInstant,5000,0,12.3701,999.194,True
BBMSDppInstant,5000,0,15.9146,999.194,True
BBMSDppInstant,5000,1,11.0478,999.612,True
BBMSDppInstant,5000,1,13.2555,999.612,True
BBMSDppInstant,5000,2,10.3865,1000.98,True
BBMSDppInstant,5000,2,13.5426,1000.98,True
BBMSDppInstant,6000,0,40.9438,999.343,True
BBMSDppInstant,6000,0,54.2368,999.343,True
BBMSDppInstant,6000,1,22.5747,999.817,True
BBMSDppInstant,6000,2,51.4792,999.621,True
BBMSDppInstant,6000,1,60.288,999.817,True
BBMSDppInstant,6000,2,48.3164,999.621,True
BBMSDppInstant,7000,0,98.9714,999.564,True
BBMSDppInstant,7000,0,79.9583,999.564,True
