algorithm,N,sample,runtime_s,frechet_dist,ok
DijkstraPrims,250,0,0.0103337,1000.47,True
DijkstraPrims,250,1,0.00944129,1000.21,True
DijkstraPrims,250,2,0.0084145,1000.58,True
DijkstraPrims,250,3,0.00834454,1000.46,True
DijkstraPrims,250,4,0.00809258,999.42,True
BBMSCore,250,0,0.00673592,1000.47,True
BBMSCore,250,1,0.00667367,1000.21,True
BBMSCore,250,2,0.00733617,1000.58,True
BBMSCore,250,3,0.00729913,1000.46,True
BBMSCore,250,4,0.00693683,999.42,True
BBMSInter,250,0,0.0031125,1000.47,True
BBMSInter,250,1,0.00316546,1000.21,True
BBMSInter,250,2,0.00334863,1000.58,True
BBMSInter,250,3,0.00306217,1000.46,True
BBMSInter,250,4,0.003338,999.42,True
DijkstraPrims,500,0,0.0380427,999.958,True
DijkstraPrims,500,1,0.0352352,1000.17,True
DijkstraPrims,500,2,0.0362995,1000.66,True
DijkstraPrims,500,3,0.0486925,999.874,True
DijkstraPrims,500,4,0.0343878,999.794,True
BBMSCore,500,0,0.0380111,999.958,True
BBMSCore,500,1,0.0418471,1000.17,True
BBMSCore,500,2,0.0383424,1000.66,True
BBMSCore,500,3,0.0422688,999.874,True
BBMSCore,500,4,0.0383182,999.794,True
BBMSInter,500,0,0.0152726,999.958,True
BBMSInter,500,1,0.0149836,1000.17,True
BBMSInter,500,2,0.0146456,1000.66,True
BBMSInter,500,3,0.017066,999.874,True
BBMSInter,500,4,0.0166423,999.794,True
DijkstraPrims,1000,0,0.183811,1000.46,True
DijkstraPrims,1000,1,0.186033,999.006,True
DijkstraPrims,1000,2,0.188656,1000.24,True
DijkstraPrims,1000,3,0.19153,1000.25,True
DijkstraPrims,1000,4,0.189758,1000.68,True
BBMSCore,1000,0,0.214299,1000.46,True
BBMSCore,1000,1,0.219484,999.006,True
BBMSCore,1000,2,0.200577,1000.24,True
BBMSCore,1000,3,0.237929,1000.25,True
BBMSCore,1000,4,0.239598,1000.68,True
BBMSInter,1000,0,0.0766372,1000.46,True
BBMSInter,1000,1,0.0715062,999.006,True
BBMSInter,1000,2,0.0723656,1000.24,True
BBMSInter,1000,3,0.0836227,1000.25,True
BBMSInter,1000,4,0.080911,1000.68,True
DijkstraPrims,2000,0,0.922313,1000.1,True
DijkstraPrims,2000,1,0.906484,999.536,True
DijkstraPrims,2000,2,0.890476,1000.73,True
DijkstraPrims,2000,3,0.908006,999.994,True
DijkstraPrims,2000,4,0.882404,1000.41,True
BBMSCore,2000,0,1.1581,1000.1,True
BBMSCore,2000,1,1.20819,999.536,True
BBMSCore,2000,2,1.34776,1000.73,True
BBMSCore,2000,3,1.28612,999.994,True
BBMSCore,2000,4,1.30968,1000.41,True
BBMSInter,2000,0,0.343152,1000.1,True
BBMSInter,2000,1,0.318653,999.536,True
BBMSInter,2000,2,0.354672,1000.73,True
BBMSInter,2000,3,0.31324,999.994,True
BBMSInter,2000,4,0.334338,1000.41,True
DijkstraPrims,4000,0,4.30518,1000.73,True
DijkstraPrims,4000,1,4.15701,1000.46,True
DijkstraPrims,4000,2,4.11619,1000.22,True
DijkstraPrims,4000,3,4.13035,1000.65,True
DijkstraPrims,4000,4,4.15401,999.763,True
BBMSCore,4000,0,6.83968,1000.73,True
BBMSCore,4000,1,9.69462,1000.46,True
BBMSCore,4000,2,8.09132,1000.22,True
BBMSCore,4000,3,8.62009,1000.65,True
BBMSCore,4000,4,7.77784,999.763,True
BBMSInter,4000,0,1.62799,1000.73,True
BBMSInter,4000,1,1.76429,1000.46,True
BBMSInter,4000,2,1.77912,1000.22,True
BBMSInter,4000,3,1.72217,1000.65,True
BBMSInter,4000,4,1.47521,999.763,True
DijkstraPrims,8000,0,20.0857,1000.14,True
DijkstraPrims,8000,1,19.6623,1000.62,True
DijkstraPrims,8000,2,19.3859,999.546,True
DijkstraPrims,8000,3,19.4004,999.924,True
DijkstraPrims,8000,4,20.3377,999.815,True
BBMSCore,8000,0,82.3318,1000.14,True
BBMSCore,8000,1,80.6685,1000.62,True
BBMSCore,8000,2,70.8395,999.546,True
BBMSCore,8000,3,71.7443,999.924,True
BBMSCore,8000,4,75.407,999.815,True
BBMSInter,8000,0,9.72461,1000.14,True
BBMSInter,8000,1,9.29102,1000.62,True
BBMSInter,8000,2,8.85842,999.546,True
BBMSInter,8000,3,9.55673,999.924,True
BBMSInter,8000,4,7.92595,999.815,True
