N,sample,runtime_s,frechet_dist,before_rss_mb,after_rss_mb,minor_faults,major_faults,swaps,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,ok
1000,0,0.0814313,1000.46,1.32812,54.875,3427,0,0,0,0,0,25,0.076383,0.004863,True
2000,0,0.373175,1000.1,1.39062,215.234,13686,0,0,0,0,0,257,0.351022,0.020063,True
3000,0,0.917209,1000.29,1.46875,482.297,30773,0,0,0,0,0,327,0.87403,0.040553,True
4000,0,1.9593,1000.73,1.53125,856.234,54701,0,0,0,0,0,1466,1.82896,0.083532,True
5000,0,2.77846,999.194,1.59375,1336.97,85464,0,0,0,0,0,342,2.66372,0.112362,True
6000,0,6.21781,999.343,1.65625,1924.5,123062,0,0,0,0,0,3627,6.00247,0.189714,True
7000,0,9.14022,999.564,1.71875,2618.88,167498,0,0,0,0,0,5172,8.77435,0.287094,True
8000,0,10.262,1000.14,1.78125,3420.06,218770,0,0,0,0,0,609,9.96785,0.289202,True
9000,0,20.4342,1000.08,1.84375,4328.03,276876,0,0,0,0,0,10468,19.7776,0.53153,True
10000,0,11.9253,1000.35,1.90625,5342.84,341820,0,0,0,0,0,5457,11.2648,0.61181,True
11000,0,31.0835,1000.57,1.96875,6464.72,413616,0,0,0,0,0,2509,30.2484,0.730384,True
12000,0,34.3299,999.248,2.03125,7692,805555,0,0,0,0,0,10081,32.0665,1.58693,True
13000,0,53.4144,999.759,2.09375,8506.2,1087758,0,0,0,0,0,44677,49.3789,2.71411,True
14000,0,85.9514,999.01,2.15625,7571.42,1780030,0,0,0,0,0,68502,79.1973,4.14459,True
15000,0,113.22,1000.49,2.21875,8652.7,2035741,0,0,0,0,0,25357,106.617,4.61432,True
16000,0,80.4152,999.481,2.28125,8513.03,2375149,0,0,0,0,0,31548,72.6829,5.32866,True
17000,0,109.114,999.106,2.34375,8688.66,2722479,0,0,0,0,0,37120,99.853,6.27532,True
18000,0,194.942,999.583,2.40625,9274.98,3104140,0,0,0,0,0,50284,183.84,7.88744,True
19000,0,117.355,1000.42,2.46875,10642.1,3433421,0,0,0,0,14624,53411,104.063,8.0962,True
20000,0,218.658,1000.1,2.53125,10966.6,3884288,0,0,0,0,89756,63184,196.294,10.5907,True
21000,0,175.898,1000.01,2.59375,10644,4288943,0,0,0,0,134638,66268,148.113,11.766,True
22000,0,256.195,1000.37,2.65625,10591.9,4762334,0,0,0,0,210422,76946,219.259,14.3817,True
23000,0,368.528,1000.12,2.71875,10864.5,5394168,0,0,0,0,304028,204203,311.9,19.2781,True
24000,0,481.435,1000.83,2.78125,9905.23,6153684,0,0,0,0,357523,267932,413.022,25.2928,True
25000,0,448.695,999.502,2.84375,10023.2,6601674,0,0,0,0,401711,298396,375.476,25.6925,True
26000,0,453.102,1000.44,2.90625,10207.9,6951630,0,0,0,0,427605,227029,380.818,24.8986,True
