algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSCore,500,0,0,24143436,0,24143436,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,0,0,318364,3098736,3417100,498708,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,0,0,318364,1244096,1562460,498708,98686,334514,98686,0,0,250000,100,ok
BBMSDppStepwise,500,0,0,318364,1244096,1562460,498708,98686,277598,229884,0,0,250000,100,ok
DijkstraPrims,500,0,0,0,0,0,0,0,0,0,1498,500,500,0.2,ok
BBMSCore,500,1,0,22416324,0,22416324,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,1,0,315032,3068260,3383292,498674,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,1,0,315032,1250192,1565224,498674,100316,332312,100316,0,0,250000,100,ok
BBMSDppStepwise,500,1,0,315032,1250192,1565224,498674,100316,282492,231300,0,0,250000,100,ok
DijkstraPrims,500,1,0,0,0,0,0,0,0,0,1498,500,500,0.2,ok
BBMSCore,500,2,0,21030020,0,21030020,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,2,0,310504,3626650,3937154,498772,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,2,0,310504,1256394,1566898,498772,102120,336374,102120,0,0,250000,100,ok
BBMSDppStepwise,500,2,0,310504,1256394,1566898,498772,102120,284398,231598,0,0,250000,100,ok
DijkstraPrims,500,2,0,0,0,0,0,0,0,0,1498,500,500,0.2,ok
BBMSCore,500,3,0,18986060,0,18986060,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,3,0,309492,3456218,3765710,498826,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,3,0,309492,1257492,1566984,498826,102972,339188,102972,0,0,250000,100,ok
BBMSDppStepwise,500,3,0,309492,1257492,1566984,498826,102972,284376,232390,0,0,250000,100,ok
DijkstraPrims,500,3,0,0,0,0,0,0,0,0,1498,500,500,0.2,ok
BBMSCore,500,4,0,21942012,0,21942012,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,4,0,314024,3395320,3709344,498834,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,4,0,314024,1250380,1564404,498834,101396,340592,101396,0,0,250000,100,ok
BBMSDppStepwise,500,4,0,314024,1250380,1564404,498834,101396,282118,231110,0,0,250000,100,ok
DijkstraPrims,500,4,0,0,0,0,0,0,0,0,1498,500,500,0.2,ok
BBMSCore,830,0,0,77055908,0,77055908,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,0,0,855312,10921120,11776432,1375894,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,0,0,855312,3469914,4325226,1375894,284368,956246,284368,0,0,688900,100,ok
BBMSDppStepwise,830,0,0,855312,3469914,4325226,1375894,284368,792992,647060,0,0,688900,100,ok
DijkstraPrims,830,0,0,0,0,0,0,0,0,0,2488,830,830,0.120482,ok
BBMSCore,830,1,0,66384904,0,66384904,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,1,0,859472,9271574,10131046,1375642,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,1,0,859472,3462788,4322260,1375642,282586,960036,282586,0,0,688900,100,ok
BBMSDppStepwise,830,1,0,859472,3462788,4322260,1375642,282586,793156,654372,0,0,688900,100,ok
DijkstraPrims,830,1,0,0,0,0,0,0,0,0,2488,830,830,0.120482,ok
BBMSCore,830,2,0,71965068,0,71965068,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,2,0,864600,10080016,10944616,1375644,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,2,0,864600,3454572,4319172,1375644,279268,941418,279268,0,0,688900,100,ok
BBMSDppStepwise,830,2,0,864600,3454572,4319172,1375644,279268,786684,646842,0,0,688900,100,ok
DijkstraPrims,830,2,0,0,0,0,0,0,0,0,2488,830,830,0.120482,ok
BBMSCore,830,3,0,66671944,0,66671944,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,3,0,857032,9243754,10100786,1375668,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,3,0,857032,3465594,4322626,1375668,282810,961086,282810,0,0,688900,100,ok
BBMSDppStepwise,830,3,0,857032,3465594,4322626,1375668,282810,794516,654020,0,0,688900,100,ok
DijkstraPrims,830,3,0,0,0,0,0,0,0,0,2488,830,830,0.120482,ok
BBMSCore,830,4,0,73747468,0,73747468,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,4,0,857148,10494228,11351376,1375764,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,4,0,857148,3465210,4322358,1375764,283220,965538,283220,0,0,688900,100,ok
BBMSDppStepwise,830,4,0,857148,3465210,4322358,1375764,283220,791714,650066,0,0,688900,100,ok
DijkstraPrims,830,4,0,0,0,0,0,0,0,0,2488,830,830,0.120482,ok
BBMSCore,1400,0,0,245125728,0,245125728,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,0,0,2448396,32241310,34689706,3916098,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,0,0,2448396,9857738,12306134,3916098,805084,2811934,805084,0,0,1960000,100,ok
BBMSDppStepwise,1400,0,0,2448396,9857738,12306134,3916098,805084,2281786,1882272,0,0,1960000,100,ok
DijkstraPrims,1400,0,0,0,0,0,0,0,0,0,4198,1400,1400,0.0714286,ok
BBMSCore,1400,1,0,226080720,0,226080720,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,1,0,2437312,32121348,34558660,3916352,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,1,0,2437312,9874676,12311988,3916352,807788,2900832,807788,0,0,1960000,100,ok
BBMSDppStepwise,1400,1,0,2437312,9874676,12311988,3916352,807788,2299238,1896138,0,0,1960000,100,ok
DijkstraPrims,1400,1,0,0,0,0,0,0,0,0,4198,1400,1400,0.0714286,ok
BBMSCore,1400,2,0,241608308,0,241608308,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,2,0,2457228,30531830,32989058,3916438,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,2,0,2457228,9845864,12303092,3916438,795678,2804920,795678,0,0,1960000,100,ok
BBMSDppStepwise,1400,2,0,2457228,9845864,12303092,3916438,795678,2273700,1883288,0,0,1960000,100,ok
DijkstraPrims,1400,2,0,0,0,0,0,0,0,0,4198,1400,1400,0.0714286,ok
BBMSCore,1400,3,0,244058116,0,244058116,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,3,0,2433164,32520370,34953534,3916178,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,3,0,2433164,9872710,12305874,3916178,815118,2840492,815118,0,0,1960000,100,ok
BBMSDppStepwise,1400,3,0,2433164,9872710,12305874,3916178,815118,2284702,1890988,0,0,1960000,100,ok
DijkstraPrims,1400,3,0,0,0,0,0,0,0,0,4198,1400,1400,0.0714286,ok
BBMSCore,1400,4,0,238030744,0,238030744,0,0,0,0,0,0,1960000,100,ok
BBMSInter,1400,4,0,2447848,31670730,34118578,3916168,0,0,0,0,0,1960000,100,ok
BBMSDppInstant,1400,4,0,2447848,9853662,12301510,3916168,807924,2801850,807924,0,0,1960000,100,ok
BBMSDppStepwise,1400,4,0,2447848,9853662,12301510,3916168,807924,2272966,1885540,0,0,1960000,100,ok
DijkstraPrims,1400,4,0,0,0,0,0,0,0,0,4198,1400,1400,0.0714286,ok
BBMSCore,2300,0,0,814311408,0,814311408,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,0,0,6611496,102986816,109598312,10574076,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,0,0,6611496,26619646,33231142,10574076,2171154,7776726,2171154,0,0,5290000,100,ok
BBMSDppStepwise,2300,0,0,6611496,26619646,33231142,10574076,2171154,6207128,5132088,0,0,5290000,100,ok
DijkstraPrims,2300,0,0,0,0,0,0,0,0,0,6898,2300,2300,0.0434783,ok
BBMSCore,2300,1,0,925720576,0,925720576,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,1,0,6589224,105590420,112179644,10573904,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,1,0,6589224,26660382,33249606,10573904,2175270,7883546,2175270,0,0,5290000,100,ok
BBMSDppStepwise,2300,1,0,6589224,26660382,33249606,10573904,2175270,6224116,5127714,0,0,5290000,100,ok
DijkstraPrims,2300,1,0,0,0,0,0,0,0,0,6898,2300,2300,0.0434783,ok
BBMSCore,2300,2,0,743055688,0,743055688,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,2,0,6597676,90962702,97560378,10574284,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,2,0,6597676,26634616,33232292,10574284,2183928,7960494,2183928,0,0,5290000,100,ok
BBMSDppStepwise,2300,2,0,6597676,26634616,33232292,10574284,2183928,6233498,5158562,0,0,5290000,100,ok
DijkstraPrims,2300,2,0,0,0,0,0,0,0,0,6898,2300,2300,0.0434783,ok
BBMSCore,2300,3,0,879703484,0,879703484,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,3,0,6619968,117229364,123849332,10574248,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,3,0,6619968,26620658,33240626,10574248,2161774,7835262,2161774,0,0,5290000,100,ok
BBMSDppStepwise,2300,3,0,6619968,26620658,33240626,10574248,2161774,6208470,5126902,0,0,5290000,100,ok
DijkstraPrims,2300,3,0,0,0,0,0,0,0,0,6898,2300,2300,0.0434783,ok
BBMSCore,2300,4,0,777672580,0,777672580,0,0,0,0,0,0,5290000,100,ok
BBMSInter,2300,4,0,6578852,93588124,100166976,10573894,0,0,0,0,0,5290000,100,ok
BBMSDppInstant,2300,4,0,6578852,26654100,33232952,10573894,2193832,7897740,2193832,0,0,5290000,100,ok
BBMSDppStepwise,2300,4,0,6578852,26654100,33232952,10573894,2193832,6207666,5149400,0,0,5290000,100,ok
DijkstraPrims,2300,4,0,0,0,0,0,0,0,0,6898,2300,2300,0.0434783,ok
BBMSCore,3900,0,0,2906903792,0,2906903792,0,0,0,0,0,0,15210000,100,ok
BBMSInter,3900,0,0,18966732,313637684,332604416,30409804,0,0,0,0,0,15210000,100,ok
BBMSDppInstant,3900,0,0,18966732,76621982,95588714,30409804,6294858,23137290,6294858,0,0,15210000,100,ok
BBMSDppStepwise,3900,0,0,18966732,76621982,95588714,30409804,6294858,17982226,14894596,0,0,15210000,100,ok
DijkstraPrims,3900,0,0,0,0,0,0,0,0,0,11698,3900,3900,0.025641,ok
BBMSCore,3900,1,0,2717082304,0,2717082304,0,0,0,0,0,0,15210000,100,ok
BBMSInter,3900,1,0,18964584,298040056,317004640,30409022,0,0,0,0,0,15210000,100,ok
BBMSDppInstant,3900,1,0,18964584,76631326,95595910,30409022,6264904,23139564,6264904,0,0,15210000,100,ok
BBMSDppStepwise,3900,1,0,18964584,76631326,95595910,30409022,6264904,17970426,14916110,0,0,15210000,100,ok
DijkstraPrims,3900,1,0,0,0,0,0,0,0,0,11698,3900,3900,0.025641,ok
BBMSCore,3900,2,0,2885707384,0,2885707384,0,0,0,0,0,0,15210000,100,ok
BBMSInter,3900,2,0,18874240,326756596,345630836,30411034,0,0,0,0,0,15210000,100,ok
BBMSDppInstant,3900,2,0,18874240,76748794,95623034,30411034,6322694,23273712,6322694,0,0,15210000,100,ok
BBMSDppStepwise,3900,2,0,18874240,76748794,95623034,30411034,6322694,17995596,14903116,0,0,15210000,100,ok
