algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSCore,500,0,1009.66,22182260,0,22182260,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,0,1009.66,311934,3361207,3673141,498972,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,0,1009.66,311934,1253388,1565322,498972,102316,333671,102316,0,0,250000,100,ok
BBMSDppStepwise,500,0,1009.66,311934,1253388,1565322,498972,102316,282393,229871,0,0,250000,100,ok
DijkstraPrims,500,0,1009.66,0,0,0,0,0,0,0,250000,249994,249994,99.9976,ok
BBMSCore,500,1,991.124,23373242,0,23373242,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,1,991.124,315310,3411428,3726738,498917,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,1,991.124,315310,1249873,1565183,498917,99363,334497,99363,0,0,250000,100,ok
BBMSDppStepwise,500,1,991.124,315310,1249873,1565183,498917,99363,281750,229711,0,0,250000,100,ok
DijkstraPrims,500,1,991.124,0,0,0,0,0,0,0,250000,249524,249524,99.8096,ok
BBMSCore,500,2,1000.92,20798710,0,20798710,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,2,1000.92,311588,3498089,3809677,498833,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,2,1000.92,311588,1254119,1565707,498833,102523,331623,102523,0,0,250000,100,ok
BBMSDppStepwise,500,2,1000.92,311588,1254119,1565707,498833,102523,283643,231914,0,0,250000,100,ok
DijkstraPrims,500,2,1000.92,0,0,0,0,0,0,0,250000,249767,249767,99.9068,ok
BBMSCore,500,3,1001.13,22239190,0,22239190,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,3,1001.13,313972,3021890,3335862,498813,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,3,1001.13,313972,1251182,1565154,498813,100536,329900,100536,0,0,250000,100,ok
