algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,500,0,0.0514688,1009.66,6.72656,9.24219,1474,0,0,0,0,0,0.051477,0,-8.235e-06,ok,0
BBMSInter,500,0,0.0241652,1009.66,6.72656,16.8672,3427,0,0,0,0,1,0.024156,0,9.216e-06,ok,0
BBMSDppInstant,500,0,0.0682978,1009.66,6.72656,58.7539,14155,0,0,0,0,2,0.048283,0.019984,3.0795e-05,ok,0
BBMSDppStepwise,500,0,0.0730698,1009.66,6.72656,56.8398,13691,0,0,0,0,1,0.044984,0.028074,1.1755e-05,ok,0
DijkstraPrims,500,0,0.0499763,1009.66,6.72656,14.6797,3709,0,0,0,0,1,0.039613,0.010355,8.316e-06,ok,0
BBMSCore,500,0,0.0514164,1009.66,6.73047,9.24219,1474,0,0,0,0,1,0.051413,0,3.44e-06,ok,1
BBMSInter,500,0,0.0233064,1009.66,6.73047,16.8672,3427,0,0,0,0,1,0.01497,0.008329,7.413e-06,ok,1
BBMSDppInstant,500,0,0.0656207,1009.66,6.73047,58.7148,14155,0,0,0,0,3,0.043195,0.0224,2.5656e-05,ok,1
BBMSDppStepwise,500,0,0.0704827,1009.66,6.73047,56.875,13691,0,0,0,0,1,0.049841,0.020633,8.696e-06,ok,1
DijkstraPrims,500,0,0.0501223,1009.66,6.73047,14.6758,3709,0,0,0,0,1,0.034592,0.015526,4.259e-06,ok,1
BBMSCore,500,0,0.0514564,1009.66,6.73047,9.24219,1474,0,0,0,0,1,0.051453,0,3.432e-06,ok,2
BBMSInter,500,0,0.0228806,1009.66,6.73047,16.8672,3427,0,0,0,0,0,0.022887,0,-6.351e-06,ok,2
BBMSDppInstant,500,0,0.0642481,1009.66,6.73047,58.7539,14155,0,0,0,0,2,0.064231,0,1.7089e-05,ok,2
BBMSDppStepwise,500,0,0.0698074,1009.66,6.73047,56.8672,13691,0,0,0,0,1,0.059584,0.010214,9.406e-06,ok,2
DijkstraPrims,500,0,0.0497487,1009.66,6.73047,14.6719,3709,0,0,0,0,0,0.049757,0,-8.264e-06,ok,2
BBMSCore,500,1,0.053328,991.124,6.73438,9.24219,1474,0,0,0,0,2,0.053313,0,1.4953e-05,ok,0
BBMSInter,500,1,0.0221368,991.124,6.73438,16.8672,3427,0,0,0,0,0,0.022142,0,-5.197e-06,ok,0
BBMSDppInstant,500,1,0.0632447,991.124,6.73438,58.6172,14138,0,0,0,0,2,0.044574,0.018652,1.8742e-05,ok,0
BBMSDppStepwise,500,1,0.0697862,991.124,6.73438,56.7461,13660,0,0,0,0,1,0.059491,0.010285,1.0153e-05,ok,0
DijkstraPrims,500,1,0.0505692,991.124,6.73438,14.6289,3692,0,0,0,0,0,0.029448,0.021129,-7.806e-06,ok,0
BBMSCore,500,1,0.0533193,991.124,6.73438,9.23438,1474,0,0,0,0,0,0.044074,0.009252,-6.747e-06,ok,1
BBMSInter,500,1,0.0223099,991.124,6.73438,16.8711,3427,0,0,0,0,0,0.022316,0,-6.102e-06,ok,1
BBMSDppInstant,500,1,0.0656503,991.124,6.73438,58.5977,14138,0,0,0,0,2,0.03661,0.029014,2.6344e-05,ok,1
BBMSDppStepwise,500,1,0.0734323,991.124,6.73438,56.7617,13660,0,0,0,0,0,0.063981,0.009458,-6.7e-06,ok,1
DijkstraPrims,500,1,0.0491274,991.124,6.73438,14.6289,3692,0,0,0,0,0,0.049135,0,-7.65e-06,ok,1
BBMSCore,500,1,0.0533608,991.124,6.73438,9.24219,1474,0,0,0,0,1,0.053354,0,6.841e-06,ok,2
BBMSInter,500,1,0.022201,991.124,6.73438,16.8516,3427,0,0,0,0,1,0.022194,0,6.997e-06,ok,2
BBMSDppInstant,500,1,0.0633631,991.124,6.73438,58.6211,14138,0,0,0,0,2,0.052447,0.010898,1.8108e-05,ok,2
BBMSDppStepwise,500,1,0.0700652,991.124,6.73438,56.7617,13660,0,0,0,0,2,0.059727,0.010322,1.6186e-05,ok,2
DijkstraPrims,500,1,0.0499138,991.124,6.73438,14.625,3692,0,0,0,0,0,0.043487,0.006434,-7.212e-06,ok,2
