algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSCore,500,0,16.8612,23360452,0,23360452,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,0,16.8612,314784,3128515,3443299,498764,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,0,16.8612,314784,1249737,1564521,498764,100514,330185,100514,0,0,250000,100,ok
BBMSDppStepwise,500,0,16.8612,314784,1249737,1564521,498764,100514,279669,229772,0,0,250000,100,ok
DijkstraPrims,500,0,16.8612,0,0,0,0,0,0,0,59604,38567,38567,15.4268,ok
BBMSCore,500,1,14.493,20999496,0,20999496,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,1,14.493,314586,3425159,3739745,498700,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,1,14.493,314586,1250224,1564810,498700,100389,340751,100389,0,0,250000,100,ok
BBMSDppStepwise,500,1,14.493,314586,1250224,1564810,498700,100389,283581,231788,0,0,250000,100,ok
DijkstraPrims,500,1,14.493,0,0,0,0,0,0,0,203586,157465,157465,62.986,ok
BBMSCore,500,2,12.3349,19922074,0,19922074,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,2,12.3349,311166,3290290,3601456,498749,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,2,12.3349,311166,1254486,1565652,498749,102529,334516,102529,0,0,250000,100,ok
BBMSDppStepwise,500,2,12.3349,311166,1254486,1565652,498749,102529,283095,232610,0,0,250000,100,ok
DijkstraPrims,500,2,12.3349,0,0,0,0,0,0,0,68230,44857,44857,17.9428,ok
BBMSCore,500,3,12.4331,20866956,0,20866956,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,3,12.4331,313606,3276897,3590503,498793,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,3,12.4331,313606,1251761,1565367,498793,101246,334832,101246,0,0,250000,100,ok
BBMSDppStepwise,500,3,12.4331,313606,1251761,1565367,498793,101246,282095,231137,0,0,250000,100,ok
DijkstraPrims,500,3,12.4331,0,0,0,0,0,0,0,22634,14068,14068,5.6272,ok
BBMSCore,500,4,17.0058,22015368,0,22015368,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,4,17.0058,311748,3475818,3787566,498759,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,4,17.0058,311748,1254699,1566447,498759,101855,337869,101855,0,0,250000,100,ok
BBMSDppStepwise,500,4,17.0058,311748,1254699,1566447,498759,101855,283880,231706,0,0,250000,100,ok
DijkstraPrims,500,4,17.0058,0,0,0,0,0,0,0,242033,216060,216060,86.424,ok
BBMSCore,500,5,12.7424,22646714,0,22646714,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,5,12.7424,313678,3377361,3691039,498647,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,5,12.7424,313678,1251742,1565420,498647,100781,339454,100781,0,0,250000,100,ok
BBMSDppStepwise,500,5,12.7424,313678,1251742,1565420,498647,100781,283759,232370,0,0,250000,100,ok
DijkstraPrims,500,5,12.7424,0,0,0,0,0,0,0,129987,90812,90812,36.3248,ok
BBMSCore,500,6,12.6407,22311510,0,22311510,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,6,12.6407,311956,3284872,3596828,498618,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,6,12.6407,311956,1252282,1564238,498618,102223,338018,102223,0,0,250000,100,ok
BBMSDppStepwise,500,6,12.6407,311956,1252282,1564238,498618,102223,282074,233645,0,0,250000,100,ok
DijkstraPrims,500,6,12.6407,0,0,0,0,0,0,0,138186,94542,94542,37.8168,ok
BBMSCore,500,7,13.9614,22048002,0,22048002,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,7,13.9614,312140,3335584,3647724,498678,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,7,13.9614,312140,1254226,1566366,498678,101246,341837,101246,0,0,250000,100,ok
BBMSDppStepwise,500,7,13.9614,312140,1254226,1566366,498678,101246,284866,233052,0,0,250000,100,ok
DijkstraPrims,500,7,13.9614,0,0,0,0,0,0,0,55612,35376,35376,14.1504,ok
BBMSCore,500,8,12.7953,21136750,0,21136750,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,8,12.7953,311956,3222588,3534544,498722,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,8,12.7953,311956,1253307,1565263,498722,102057,335617,102057,0,0,250000,100,ok
BBMSDppStepwise,500,8,12.7953,311956,1253307,1565263,498722,102057,283397,232742,0,0,250000,100,ok
DijkstraPrims,500,8,12.7953,0,0,0,0,0,0,0,151798,105075,105075,42.03,ok
BBMSCore,500,9,12.0941,21755758,0,21755758,0,0,0,0,0,0,250000,100,ok
BBMSInter,500,9,12.0941,314216,3416968,3731184,498555,0,0,0,0,0,250000,100,ok
BBMSDppInstant,500,9,12.0941,314216,1250409,1564625,498555,101642,336942,101642,0,0,250000,100,ok
BBMSDppStepwise,500,9,12.0941,314216,1250409,1564625,498555,101642,283267,232344,0,0,250000,100,ok
DijkstraPrims,500,9,12.0941,0,0,0,0,0,0,0,72542,47635,47635,19.054,ok
BBMSCore,830,0,11.9016,70370462,0,70370462,0,0,0,0,0,0,688900,100,ok
BBMSInter,830,0,11.9016,859668,9516657,10376325,1375428,0,0,0,0,0,688900,100,ok
BBMSDppInstant,830,0,11.9016,859668,3461981,4321649,1375428,282482,976819,282482,0,0,688900,100,ok
BBMSDppStepwise,830,0,11.9016,859668,3461981,4321649,1375428,282482,795781,655127,0,0,688900,100,ok
