algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,500,0,0.0564736,16.8612,6.98438,9.23828,1474,0,0,0,0,1,0.056472,0,1.646e-06,ok,0
BBMSInter,500,0,0.023124,16.8612,6.98438,16.8789,3427,0,0,0,0,0,0.023131,0,-6.986e-06,ok,0
BBMSDppInstant,500,0,0.062148,16.8612,6.98438,58.6172,14130,0,0,0,0,1,0.040878,0.021265,5.011e-06,ok,0
BBMSDppStepwise,500,0,0.0699602,16.8612,6.98438,56.7617,13664,0,0,0,0,2,0.059698,0.010243,1.9236e-05,ok,0
DijkstraPrims,500,0,0.00951286,16.8612,6.98438,6.98438,946,0,0,0,0,1,0.009502,0,1.0862e-05,ok,0
BBMSCore,500,0,0.0561955,16.8612,6.98438,9.24219,1474,0,0,0,0,0,0.056202,0,-6.47e-06,ok,1
BBMSInter,500,0,0.0227532,16.8612,6.98438,16.8672,3427,0,0,0,0,1,0.010563,0.012177,1.3209e-05,ok,1
BBMSDppInstant,500,0,0.0615935,16.8612,6.99219,58.6172,14130,0,0,0,0,2,0.044881,0.016353,0.000359507,ok,1
BBMSDppStepwise,500,0,0.0700884,16.8612,6.99219,56.7461,13664,0,0,0,0,2,0.053863,0.016208,1.7427e-05,ok,1
DijkstraPrims,500,0,0.00945909,16.8612,6.99219,6.99219,946,0,0,0,0,0,0.009466,0,-6.91e-06,ok,1
BBMSCore,500,0,0.0561866,16.8612,6.99219,9.25,1474,0,0,0,0,1,0.056181,0,5.636e-06,ok,2
BBMSInter,500,0,0.0229475,16.8612,6.99219,16.8711,3427,0,0,0,0,0,0.022954,0,-6.543e-06,ok,2
BBMSDppInstant,500,0,0.0621466,16.8612,6.99219,58.6211,14130,0,0,0,0,2,0.040877,0.021244,2.5556e-05,ok,2
BBMSDppStepwise,500,0,0.0707335,16.8612,6.99219,56.7461,13664,0,0,0,0,1,0.05001,0.020714,9.495e-06,ok,2
DijkstraPrims,500,0,0.00948969,16.8612,6.99219,6.99219,946,0,0,0,0,0,0.009497,0,-7.313e-06,ok,2
BBMSCore,500,1,0.0458234,14.493,6.99609,9.21875,1474,0,0,0,0,1,0.038438,0.007377,8.407e-06,ok,0
BBMSInter,500,1,0.0234726,14.493,6.99609,16.8398,3427,0,0,0,0,1,0.023465,0,7.568e-06,ok,0
BBMSDppInstant,500,1,0.066483,14.493,6.99609,58.5898,14147,0,0,0,0,1,0.056665,0.009807,1.0985e-05,ok,0
BBMSDppStepwise,500,1,0.0740262,14.493,6.99609,56.75,13660,0,0,0,0,2,0.035839,0.038154,3.3249e-05,ok,0
DijkstraPrims,500,1,0.0354711,14.493,6.99609,13.4844,3340,0,0,0,0,0,0.035479,0,-7.887e-06,ok,0
BBMSCore,500,1,0.0456009,14.493,6.99609,9.24219,1474,0,0,0,0,2,0.03821,0.007385,5.912e-06,ok,1
BBMSInter,500,1,0.0227339,14.493,6.99609,16.875,3427,0,0,0,0,0,0.014465,0.008275,-6.062e-06,ok,1
BBMSDppInstant,500,1,0.0638907,14.493,6.99609,58.6211,14147,0,0,0,0,2,0.052889,0.010994,7.655e-06,ok,1
BBMSDppStepwise,500,1,0.0696555,14.493,6.99609,56.7422,13660,0,0,0,0,1,0.060658,0.008987,1.0529e-05,ok,1
DijkstraPrims,500,1,0.0354506,14.493,6.99609,13.4922,3340,0,0,0,0,0,0.02604,0.009418,-7.421e-06,ok,1
BBMSCore,500,1,0.0458137,14.493,6.99609,9.24219,1474,0,0,0,0,1,0.036218,0.009587,8.69e-06,ok,2
BBMSInter,500,1,0.022674,14.493,7,16.8711,3427,0,0,0,0,1,0.014416,0.008253,4.969e-06,ok,2
BBMSDppInstant,500,1,0.0634756,14.493,7,58.6172,14147,0,0,0,0,2,0.052535,0.010921,1.9648e-05,ok,2
BBMSDppStepwise,500,1,0.0703314,14.493,7,56.7383,13660,0,0,0,0,1,0.052182,0.018137,1.2382e-05,ok,2
DijkstraPrims,500,1,0.0355291,14.493,7,13.4922,3340,0,0,0,0,0,0.035537,0,-7.863e-06,ok,2
BBMSCore,500,2,0.0480119,12.3349,7.00391,9.24219,1474,0,0,0,0,2,0.047999,0,1.2893e-05,ok,0
BBMSInter,500,2,0.0232849,12.3349,7.00391,16.8633,3427,0,0,0,0,1,0.02328,0,4.852e-06,ok,0
BBMSDppInstant,500,2,0.0648389,12.3349,7.00391,58.7617,14163,0,0,0,0,2,0.055184,0.009635,1.9905e-05,ok,0
BBMSDppStepwise,500,2,0.0707706,12.3349,7.00391,56.8711,13694,0,0,0,0,1,0.052392,0.018371,7.6e-06,ok,0
DijkstraPrims,500,2,0.0105865,12.3349,7.00391,7.00391,1022,0,0,0,0,0,0.010594,0,-7.547e-06,ok,0
BBMSCore,500,2,0.0481605,12.3349,7.00391,9.26172,1474,0,0,0,0,1,0.048155,0,5.457e-06,ok,1
BBMSInter,500,2,0.0235042,12.3349,7.00391,16.8555,3427,0,0,0,0,1,0.014807,0.008693,4.188e-06,ok,1
BBMSDppInstant,500,2,0.0647036,12.3349,7.00391,58.7188,14163,0,0,0,0,3,0.053452,0.011206,4.5599e-05,ok,1
BBMSDppStepwise,500,2,0.0734553,12.3349,7.00391,56.875,13694,0,0,0,0,0,0.06258,0.010884,-8.721e-06,ok,1
DijkstraPrims,500,2,0.0108831,12.3349,7.00391,7.00391,1022,0,0,0,0,0,0.010891,0,-7.86e-06,ok,1
BBMSCore,500,2,0.0483598,12.3349,7.00391,9.25,1474,0,0,0,0,1,0.048353,0,6.813e-06,ok,2
BBMSInter,500,2,0.023531,12.3349,7.00391,16.8789,3427,0,0,0,0,0,0.01743,0.006107,-5.993e-06,ok,2
BBMSDppInstant,500,2,0.0648716,12.3349,7.00391,58.7617,14163,0,0,0,0,1,0.035972,0.028898,1.639e-06,ok,2
BBMSDppStepwise,500,2,0.0709239,12.3349,7.00391,56.8711,13694,0,0,0,0,2,0.060392,0.010513,1.8855e-05,ok,2
DijkstraPrims,500,2,0.0105296,12.3349,7.00391,7.00391,1022,0,0,0,0,0,0.010537,0,-7.441e-06,ok,2
BBMSCore,500,3,0.0492037,12.4331,7.01172,9.24219,1474,0,0,0,0,2,0.049186,0,1.7659e-05,ok,0
BBMSInter,500,3,0.0226157,12.4331,7.01562,16.8672,3427,0,0,0,0,0,0.022622,0,-6.266e-06,ok,0
BBMSDppInstant,500,3,0.0639418,12.4331,7.01562,58.6172,14142,0,0,0,0,2,0.054359,0.009564,1.8753e-05,ok,0
BBMSDppStepwise,500,3,0.0702889,12.4331,7.01562,56.7305,13670,0,0,0,0,1,0.049288,0.02099,1.0856e-05,ok,0
DijkstraPrims,500,3,0.00337963,12.4331,7.01562,7.01562,376,0,0,0,0,0,0.003387,0,-7.371e-06,ok,0
BBMSCore,500,3,0.0491224,12.4331,7.01562,9.24219,1474,0,0,0,0,1,0.049115,0,7.442e-06,ok,1
BBMSInter,500,3,0.022562,12.4331,7.01562,16.8594,3427,0,0,0,0,0,0.022569,0,-7.035e-06,ok,1
