algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
BBMSCore,500,0,2000,125495502,0,125495502,0,0,0,0,0,0,0,-1,250000,100,ok
BBMSInter,500,0,2000,250498,62748745,62999243,499000,0,0,0,0,0,0,-1,250000,100,ok
BBMSDppInstant,500,0,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
BBMSDppStepwise,500,0,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
DijkstraPrims,500,0,2000,0,0,0,0,0,0,0,250000,250000,125001,62500.5,250000,100,ok
BBMSCore,500,1,2000,125495502,0,125495502,0,0,0,0,0,0,0,-1,250000,100,ok
BBMSInter,500,1,2000,250498,62748745,62999243,499000,0,0,0,0,0,0,-1,250000,100,ok
BBMSDppInstant,500,1,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
BBMSDppStepwise,500,1,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
DijkstraPrims,500,1,2000,0,0,0,0,0,0,0,250000,250000,125001,62500.5,250000,100,ok
BBMSCore,500,2,2000,125495502,0,125495502,0,0,0,0,0,0,0,-1,250000,100,ok
BBMSInter,500,2,2000,250498,62748745,62999243,499000,0,0,0,0,0,0,-1,250000,100,ok
BBMSDppInstant,500,2,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
BBMSDppStepwise,500,2,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
DijkstraPrims,500,2,2000,0,0,0,0,0,0,0,250000,250000,125001,62500.5,250000,100,ok
BBMSCore,500,3,2000,125495502,0,125495502,0,0,0,0,0,0,0,-1,250000,100,ok
BBMSInter,500,3,2000,250498,62748745,62999243,499000,0,0,0,0,0,0,-1,250000,100,ok
BBMSDppInstant,500,3,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
BBMSDppStepwise,500,3,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
DijkstraPrims,500,3,2000,0,0,0,0,0,0,0,250000,250000,125001,62500.5,250000,100,ok
BBMSCore,500,4,2000,125495502,0,125495502,0,0,0,0,0,0,0,-1,250000,100,ok
BBMSInter,500,4,2000,250498,62748745,62999243,499000,0,0,0,0,0,0,-1,250000,100,ok
BBMSDppInstant,500,4,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
BBMSDppStepwise,500,4,2000,250498,1367009,1617507,499000,124002,247754,124002,0,0,0,-1,250000,100,ok
DijkstraPrims,500,4,2000,0,0,0,0,0,0,0,250000,250000,125001,62500.5,250000,100,ok
BBMSCore,830,0,2000,573157332,0,573157332,0,0,0,0,0,0,0,-1,688900,100,ok
BBMSInter,830,0,2000,689728,286580320,287270048,1376140,0,0,0,0,0,0,-1,688900,100,ok
BBMSDppInstant,830,0,2000,689728,3775679,4465407,1376140,342792,685169,342792,0,0,0,-1,688900,100,ok
BBMSDppStepwise,830,0,2000,689728,3775679,4465407,1376140,342792,685169,342792,0,0,0,-1,688900,100,ok
DijkstraPrims,830,0,2000,0,0,0,0,0,0,0,688900,688900,344451,172225,688900,100,ok
BBMSCore,830,1,2000,573157332,0,573157332,0,0,0,0,0,0,0,-1,688900,100,ok
