algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,500,0,0.466836,2000,6.27734,9.24219,1478,0,0,0,0,1,0.466843,0,-6.682e-06,ok,0
BBMSInter,500,0,0.993344,2000,6.29297,16.8789,3431,0,0,0,0,7,0.983352,0.00995,4.2351e-05,ok,0
BBMSDppInstant,500,0,0.0561742,2000,6.29297,57.3594,13820,0,0,0,0,0,0.046525,0.009659,-9.811e-06,ok,0
BBMSDppStepwise,500,0,0.0548669,2000,6.29297,57.3672,13820,0,0,0,0,0,0.036001,0.018876,-1.0069e-05,ok,0
DijkstraPrims,500,0,0.0494925,2000,6.29297,15.7148,4253,0,0,0,0,1,0.039244,0.010242,6.485e-06,ok,0
BBMSCore,500,0,0.465782,2000,6.29297,9.23438,1478,0,0,0,0,1,0.457515,0.008262,4.681e-06,ok,1
BBMSInter,500,0,0.992777,2000,6.29297,16.8672,3431,0,0,0,0,8,0.982792,0.009945,3.9652e-05,ok,1
BBMSDppInstant,500,0,0.0566229,2000,6.29297,57.3672,13820,0,0,0,0,1,0.056614,0,8.879e-06,ok,1
BBMSDppStepwise,500,0,0.0556763,2000,6.29297,57.3672,13820,0,0,0,0,0,0.036529,0.019157,-9.664e-06,ok,1
DijkstraPrims,500,0,0.0502234,2000,6.29297,15.7227,4253,0,0,0,0,1,0.032891,0.017325,7.371e-06,ok,1
BBMSCore,500,0,0.466819,2000,6.30078,9.25,1478,0,0,0,0,1,0.466818,0,9.67e-07,ok,2
BBMSInter,500,0,0.991657,2000,6.30078,16.8867,3431,0,0,0,0,5,0.99164,0,1.6562e-05,ok,2
BBMSDppInstant,500,0,0.0582646,2000,6.30078,57.3672,13820,0,0,0,0,0,0.038258,0.020016,-9.449e-06,ok,2
BBMSDppStepwise,500,0,0.0551248,2000,6.30078,57.375,13820,0,0,0,0,1,0.032374,0.022745,5.795e-06,ok,2
DijkstraPrims,500,0,0.0501081,2000,6.30078,15.7305,4253,0,0,0,0,0,0.050117,0,-8.934e-06,ok,2
BBMSCore,500,1,0.467034,2000,6.3125,9.24219,1478,0,0,0,0,2,0.467025,0,8.62e-06,ok,0
BBMSInter,500,1,0.990627,2000,6.3125,16.8672,3431,0,0,0,0,2,0.990626,0,7.14e-07,ok,0
BBMSDppInstant,500,1,0.0567794,2000,6.3125,57.3789,13820,0,0,0,0,1,0.046943,0.009824,1.2388e-05,ok,0
BBMSDppStepwise,500,1,0.0549735,2000,6.3125,57.3672,13820,0,0,0,0,1,0.016861,0.0381,1.2547e-05,ok,0
DijkstraPrims,500,1,0.0495033,2000,6.3125,15.7422,4253,0,0,0,0,0,0.049513,0,-9.749e-06,ok,0
BBMSCore,500,1,0.466934,2000,6.3125,9.24219,1478,0,0,0,0,5,0.466876,0,5.7501e-05,ok,1
BBMSInter,500,1,0.990866,2000,6.3125,16.875,3431,0,0,0,0,4,0.990834,0,3.2234e-05,ok,1
BBMSDppInstant,500,1,0.0564771,2000,6.31641,57.3633,13820,0,0,0,0,1,0.036923,0.019544,1.0107e-05,ok,1
BBMSDppStepwise,500,1,0.0556244,2000,6.31641,57.3477,13820,0,0,0,0,1,0.044067,0.011555,2.425e-06,ok,1
DijkstraPrims,500,1,0.0494152,2000,6.31641,15.7344,4253,0,0,0,0,0,0.049424,0,-8.841e-06,ok,1
BBMSCore,500,1,0.466562,2000,6.31641,9.25,1478,0,0,0,0,4,0.456491,0.009969,0.000101853,ok,2
BBMSInter,500,1,0.99182,2000,6.31641,16.8633,3431,0,0,0,0,7,0.971899,0.019878,4.2646e-05,ok,2
BBMSDppInstant,500,1,0.0561494,2000,6.31641,57.375,13820,0,0,0,0,2,0.05613,0,1.9447e-05,ok,2
BBMSDppStepwise,500,1,0.0552651,2000,6.31641,57.3672,13820,0,0,0,0,2,0.03612,0.019135,1.0061e-05,ok,2
DijkstraPrims,500,1,0.0493543,2000,6.31641,15.7422,4253,0,0,0,0,0,0.049364,0,-9.734e-06,ok,2
BBMSCore,500,2,0.466954,2000,6.32031,9.25391,1478,0,0,0,0,3,0.456911,0.009988,5.5242e-05,ok,0
BBMSInter,500,2,0.991866,2000,6.32031,16.875,3431,0,0,0,0,4,0.981891,0.009944,3.1173e-05,ok,0
BBMSDppInstant,500,2,0.0567509,2000,6.32031,57.375,13820,0,0,0,0,2,0.027059,0.029657,3.4865e-05,ok,0
BBMSDppStepwise,500,2,0.0561348,2000,6.32031,57.3477,13820,0,0,0,0,2,0.02677,0.029347,1.7803e-05,ok,0
DijkstraPrims,500,2,0.0491447,2000,6.32422,15.7344,4253,0,0,0,0,2,0.043106,0.006024,1.4737e-05,ok,0
BBMSCore,500,2,0.465973,2000,6.32422,9.23438,1478,0,0,0,0,2,0.465959,0,1.4419e-05,ok,1
BBMSInter,500,2,0.988839,2000,6.32422,16.8594,3431,0,0,0,0,2,0.988828,0,1.1495e-05,ok,1
BBMSDppInstant,500,2,0.0570581,2000,6.32422,57.3672,13820,0,0,0,0,2,0.047101,0.00994,1.7141e-05,ok,1
BBMSDppStepwise,500,2,0.0559755,2000,6.32422,57.3477,13820,0,0,0,0,1,0.046199,0.009765,1.1529e-05,ok,1
DijkstraPrims,500,2,0.0493982,2000,6.32422,15.707,4253,0,0,0,0,1,0.049391,0,7.171e-06,ok,1
BBMSCore,500,2,0.466251,2000,6.32422,9.24219,1478,0,0,0,0,5,0.466221,0,2.9675e-05,ok,2
BBMSInter,500,2,0.991006,2000,6.32422,16.875,3431,0,0,0,0,4,0.980952,0.010036,1.841e-05,ok,2
BBMSDppInstant,500,2,0.0566336,2000,6.32422,57.3672,13820,0,0,0,0,1,0.056632,0,1.62e-06,ok,2
BBMSDppStepwise,500,2,0.0552278,2000,6.32422,57.3672,13820,0,0,0,0,1,0.035949,0.019269,9.84e-06,ok,2
DijkstraPrims,500,2,0.0495742,2000,6.32422,15.7266,4253,0,0,0,0,1,0.049567,0,7.196e-06,ok,2
BBMSCore,500,3,0.466955,2000,6.32812,9.25391,1478,0,0,0,0,1,0.466954,0,1.27e-06,ok,0
BBMSInter,500,3,1.00575,2000,6.33203,16.8672,3431,0,0,0,0,11,0.995642,0.009986,0.00011745,ok,0
BBMSDppInstant,500,3,0.060897,2000,6.33203,57.3672,13820,0,0,0,0,0,0.05025,0.010658,-1.0967e-05,ok,0
BBMSDppStepwise,500,3,0.0599411,2000,6.33203,57.3633,13820,0,0,0,0,0,0.049448,0.010497,-3.912e-06,ok,0
DijkstraPrims,500,3,0.0526008,2000,6.33203,15.7031,4253,0,0,0,0,2,0.046393,0.00618,2.7849e-05,ok,0
BBMSCore,500,3,0.466653,2000,6.33203,9.23828,1478,0,0,0,0,1,0.466652,0,8.93e-07,ok,1
BBMSInter,500,3,0.989606,2000,6.33203,16.8398,3431,0,0,0,0,8,0.98265,0.006892,6.3879e-05,ok,1
BBMSDppInstant,500,3,0.0569289,2000,6.33203,57.3672,13820,0,0,0,0,1,0.036941,0.019976,1.1934e-05,ok,1
BBMSDppStepwise,500,3,0.0567006,2000,6.33203,57.3711,13820,0,0,0,0,1,0.016815,0.039876,9.616e-06,ok,1
DijkstraPrims,500,3,0.0494231,2000,6.33203,15.707,4253,0,0,0,0,1,0.049414,0,9.053e-06,ok,1
BBMSCore,500,3,0.465424,2000,6.33203,9.24219,1478,0,0,0,0,3,0.455451,0.009965,7.884e-06,ok,2
BBMSInter,500,3,0.991299,2000,6.33203,16.8672,3431,0,0,0,0,3,0.991267,0,3.1767e-05,ok,2
BBMSDppInstant,500,3,0.0571805,2000,6.33203,57.3672,13820,0,0,0,0,1,0.037113,0.020065,2.541e-06,ok,2
BBMSDppStepwise,500,3,0.05583,2000,6.33203,57.375,13820,0,0,0,0,2,0.036199,0.019611,1.9995e-05,ok,2
DijkstraPrims,500,3,0.0501744,2000,6.33203,15.7227,4253,0,0,0,0,0,0.041311,0.008872,-8.631e-06,ok,2
BBMSCore,500,4,0.46586,2000,6.33984,9.25,1478,0,0,0,0,5,0.465833,0,2.7348e-05,ok,0
BBMSInter,500,4,0.990911,2000,6.33984,16.8672,3431,0,0,0,0,3,0.990895,0,1.5802e-05,ok,0
BBMSDppInstant,500,4,0.0569638,2000,6.34375,57.3672,13820,0,0,0,0,1,0.036826,0.020133,4.769e-06,ok,0
BBMSDppStepwise,500,4,0.0561966,2000,6.34375,57.375,13820,0,0,0,0,0,0.046265,0.00994,-8.372e-06,ok,0
DijkstraPrims,500,4,0.049079,2000,6.34375,15.7188,4253,0,0,0,0,1,0.028058,0.021003,1.8031e-05,ok,0
BBMSCore,500,4,0.465815,2000,6.34375,9.24219,1478,0,0,0,0,2,0.46582,0,-5.442e-06,ok,1
BBMSInter,500,4,0.993627,2000,6.34375,16.8633,3431,0,0,0,0,5,0.993605,0,2.1648e-05,ok,1
BBMSDppInstant,500,4,0.0575651,2000,6.34375,57.3594,13820,0,0,0,0,1,0.034878,0.02268,7.144e-06,ok,1
BBMSDppStepwise,500,4,0.0565784,2000,6.34375,57.375,13820,0,0,0,0,0,0.03658,0.020008,-9.622e-06,ok,1
DijkstraPrims,500,4,0.0491994,2000,6.34375,15.7109,4253,0,0,0,0,1,0.043895,0.005305,-6.29e-07,ok,1
BBMSCore,500,4,0.466644,2000,6.34375,9.25,1478,0,0,0,0,1,0.466641,0,3.244e-06,ok,2
BBMSInter,500,4,0.990325,2000,6.34375,16.8711,3431,0,0,0,0,7,0.980229,0.010037,5.9365e-05,ok,2
BBMSDppInstant,500,4,0.0570604,2000,6.34375,57.375,13820,0,0,0,0,1,0.016738,0.040322,4.19e-07,ok,2
BBMSDppStepwise,500,4,0.0554599,2000,6.34375,57.3711,13820,0,0,0,0,1,0.035822,0.019628,9.947e-06,ok,2
DijkstraPrims,500,4,0.050024,2000,6.34375,15.6445,4253,0,0,0,0,1,0.041109,0.008915,3.7e-08,ok,2
BBMSCore,830,0,2.35502,2000,6.34766,19.2305,4054,0,0,0,0,7,2.35496,0,5.6276e-05,ok,0
BBMSInter,830,0,4.98846,2000,6.34766,40.3672,9436,0,0,0,0,18,4.97828,0.01,0.00017926,ok,0
BBMSDppInstant,830,0,0.192587,2000,6.35156,152.941,38451,0,0,0,0,1,0.136291,0.056298,-1.972e-06,ok,0
BBMSDppStepwise,830,0,0.190455,2000,6.35156,152.938,38451,0,0,0,0,2,0.149903,0.040524,2.7866e-05,ok,0
DijkstraPrims,830,0,0.148633,2000,6.35156,35.2695,11473,0,0,0,0,2,0.138567,0.010045,2.1484e-05,ok,0
