algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,500,0,0.0579674,0,6.39062,9.23047,1472,0,0,0,0,0,0.057975,0,-7.559e-06,ok,0
BBMSInter,500,0,0.0225903,0,6.40234,16.8789,3425,0,0,0,0,0,0.022597,0,-6.687e-06,ok,0
BBMSDppInstant,500,0,0.0653607,0,6.40234,58.6016,14133,0,0,0,0,2,0.02704,0.038292,2.8659e-05,ok,0
BBMSDppStepwise,500,0,0.0700066,0,6.40234,56.7148,13640,0,0,0,0,2,0.069991,0,1.5618e-05,ok,0
DijkstraPrims,500,0,0.00018103,0,6.40234,6.40234,26,0,0,0,0,0,0.000188,0,-6.97e-06,ok,0
BBMSCore,500,0,0.0576692,0,6.40625,9.22266,1472,0,0,0,0,1,0.057669,0,2.5e-07,ok,1
BBMSInter,500,0,0.022731,0,6.40625,16.8555,3425,0,0,0,0,0,0.022736,0,-4.953e-06,ok,1
BBMSDppInstant,500,0,0.0643507,0,6.40625,58.6172,14133,0,0,0,0,1,0.053344,0.010993,1.3724e-05,ok,1
BBMSDppStepwise,500,0,0.0712888,0,6.41016,56.7461,13640,0,0,0,0,1,0.062139,0.00914,9.767e-06,ok,1
DijkstraPrims,500,0,0.000234275,0,6.41016,6.41016,26,0,0,0,0,0,0.000241,0,-6.725e-06,ok,1
BBMSCore,500,0,0.0574903,0,6.41016,9.22656,1472,0,0,0,0,1,0.057483,0,7.293e-06,ok,2
BBMSInter,500,0,0.0225533,0,6.41016,16.8633,3425,0,0,0,0,1,0.022545,0,8.333e-06,ok,2
BBMSDppInstant,500,0,0.0642877,0,6.41016,58.6172,14133,0,0,0,0,2,0.045432,0.018836,1.9681e-05,ok,2
BBMSDppStepwise,500,0,0.070004,0,6.41406,56.7422,13640,0,0,0,0,2,0.059736,0.01025,1.8003e-05,ok,2
DijkstraPrims,500,0,0.000173774,0,6.41406,6.41406,26,0,0,0,0,0,0.000182,0,-8.226e-06,ok,2
BBMSCore,500,1,0.0535859,0,6.41406,9.24219,1472,0,0,0,0,0,0.053594,0,-8.067e-06,ok,0
BBMSInter,500,1,0.0218776,0,6.41406,16.8555,3425,0,0,0,0,1,0.009859,0.012006,1.2558e-05,ok,0
BBMSDppInstant,500,1,0.0632862,0,6.41406,58.6172,14144,0,0,0,0,3,0.052362,0.010891,3.3185e-05,ok,0
BBMSDppStepwise,500,1,0.0703303,0,6.41797,56.7422,13663,0,0,0,0,0,0.049601,0.020737,-7.719e-06,ok,0
DijkstraPrims,500,1,0.00018593,0,6.41797,6.41797,26,0,0,0,0,0,0.000192,0,-6.07e-06,ok,0
BBMSCore,500,1,0.0537396,0,6.41797,9.24219,1472,0,0,0,0,0,0.053747,0,-7.448e-06,ok,1
BBMSInter,500,1,0.0220988,0,6.41797,16.875,3425,0,0,0,0,1,0.014011,0.008078,9.822e-06,ok,1
BBMSDppInstant,500,1,0.0652131,0,6.41797,58.6172,14144,0,0,0,0,1,0.042755,0.022449,9.071e-06,ok,1
BBMSDppStepwise,500,1,0.0717326,0,6.41797,56.7461,13663,0,0,0,0,2,0.050574,0.021142,1.6632e-05,ok,1
DijkstraPrims,500,1,0.000172642,0,6.42188,6.42188,26,0,0,0,0,0,0.00018,0,-7.358e-06,ok,1
BBMSCore,500,1,0.0538757,0,6.42188,9.24219,1472,0,0,0,0,0,0.044538,0.009343,-5.274e-06,ok,2
BBMSInter,500,1,0.0222581,0,6.42188,16.8672,3425,0,0,0,0,1,0.022254,0,4.144e-06,ok,2
BBMSDppInstant,500,1,0.0653293,0,6.42188,58.6172,14144,0,0,0,0,1,0.036425,0.028895,9.286e-06,ok,2
BBMSDppStepwise,500,1,0.0704395,0,6.42188,56.7422,13663,0,0,0,0,2,0.049648,0.020765,2.6493e-05,ok,2
DijkstraPrims,500,1,0.000174675,0,6.42188,6.42188,26,0,0,0,0,0,0.000182,0,-7.325e-06,ok,2
BBMSCore,500,2,0.0506997,0,6.42188,9.23828,1472,0,0,0,0,0,0.050708,0,-8.317e-06,ok,0
BBMSInter,500,2,0.0246327,0,6.42188,16.8633,3425,0,0,0,0,1,0.015545,0.009079,8.688e-06,ok,0
BBMSDppInstant,500,2,0.0643171,0,6.42578,58.6094,14148,0,0,0,0,2,0.030857,0.033436,2.4081e-05,ok,0
BBMSDppStepwise,500,2,0.0704611,0,6.42969,56.8711,13685,0,0,0,0,1,0.036619,0.033841,1.063e-06,ok,0
DijkstraPrims,500,2,0.000181947,0,6.42969,6.42969,26,0,0,0,0,0,0.000189,0,-7.053e-06,ok,0
BBMSCore,500,2,0.0504628,0,6.42969,9.24219,1472,0,0,0,0,1,0.050462,0,7.59e-07,ok,1
BBMSInter,500,2,0.0245393,0,6.42969,16.8633,3425,0,0,0,0,1,0.015486,0.009041,1.2312e-05,ok,1
BBMSDppInstant,500,2,0.063634,0,6.42969,58.5938,14148,0,0,0,0,0,0.063641,0,-7.022e-06,ok,1
BBMSDppStepwise,500,2,0.070053,0,6.42969,56.8594,13685,0,0,0,0,2,0.059635,0.010393,2.5014e-05,ok,1
DijkstraPrims,500,2,0.000172635,0,6.42969,6.42969,26,0,0,0,0,0,0.00018,0,-7.365e-06,ok,1
BBMSCore,500,2,0.0509085,0,6.42969,9.24609,1472,0,0,0,0,1,0.050904,0,4.514e-06,ok,2
BBMSInter,500,2,0.025018,0,6.42969,16.8477,3425,0,0,0,0,0,0.025024,0,-5.979e-06,ok,2
BBMSDppInstant,500,2,0.0654996,0,6.42969,58.6094,14148,0,0,0,0,1,0.055765,0.009724,1.0636e-05,ok,2
BBMSDppStepwise,500,2,0.0704435,0,6.42969,56.8672,13685,0,0,0,0,1,0.05999,0.010446,7.499e-06,ok,2
DijkstraPrims,500,2,0.000174084,0,6.42969,6.42969,26,0,0,0,0,0,0.000181,0,-6.916e-06,ok,2
BBMSCore,500,3,0.0451746,0,6.42969,9.25,1472,0,0,0,0,0,0.035514,0.009668,-7.426e-06,ok,0
BBMSInter,500,3,0.0246006,0,6.43359,16.875,3425,0,0,0,0,0,0.015359,0.009248,-6.409e-06,ok,0
BBMSDppInstant,500,3,0.0658811,0,6.43359,58.7617,14166,0,0,0,0,2,0.046154,0.019706,2.1063e-05,ok,0
BBMSDppStepwise,500,3,0.0714996,0,6.4375,56.8672,13694,0,0,0,0,2,0.071477,0,2.2618e-05,ok,0
DijkstraPrims,500,3,0.000176151,0,6.4375,6.4375,26,0,0,0,0,0,0.000183,0,-6.849e-06,ok,0
BBMSCore,500,3,0.0450926,0,6.4375,9.24219,1472,0,0,0,0,1,0.045078,0,1.4565e-05,ok,1
BBMSInter,500,3,0.0237168,0,6.4375,16.8477,3425,0,0,0,0,1,0.014784,0.008927,5.75e-06,ok,1
BBMSDppInstant,500,3,0.0634875,0,6.4375,58.7383,14166,0,0,0,0,2,0.044458,0.019008,2.1463e-05,ok,1
BBMSDppStepwise,500,3,0.0696365,0,6.4375,56.8672,13694,0,0,0,0,1,0.048812,0.020817,7.514e-06,ok,1
DijkstraPrims,500,3,0.000174878,0,6.4375,6.4375,26,0,0,0,0,0,0.000182,0,-7.122e-06,ok,1
BBMSCore,500,3,0.0447641,0,6.4375,9.24219,1472,0,0,0,0,0,0.04477,0,-5.873e-06,ok,2
BBMSInter,500,3,0.0237455,0,6.4375,16.8594,3425,0,0,0,0,0,0.014813,0.008938,-5.468e-06,ok,2
BBMSDppInstant,500,3,0.06408,0,6.44141,58.7539,14166,0,0,0,0,3,0.041669,0.022377,3.3988e-05,ok,2
BBMSDppStepwise,500,3,0.0695868,0,6.44141,56.8672,13694,0,0,0,0,1,0.036409,0.03317,7.818e-06,ok,2
DijkstraPrims,500,3,0.00017474,0,6.44141,6.44141,26,0,0,0,0,0,0.000182,0,-7.26e-06,ok,2
BBMSCore,500,4,0.0519384,0,6.44141,9.24219,1472,0,0,0,0,1,0.042668,0.009261,9.352e-06,ok,0
BBMSInter,500,4,0.0234246,0,6.44141,16.8672,3425,0,0,0,0,0,0.023431,0,-6.435e-06,ok,0
BBMSDppInstant,500,4,0.0631399,0,6.44141,58.75,14158,0,0,0,0,2,0.034543,0.028582,1.4881e-05,ok,0
BBMSDppStepwise,500,4,0.0711671,0,6.44141,56.7461,13667,0,0,0,0,2,0.024361,0.046783,2.3098e-05,ok,0
DijkstraPrims,500,4,0.000175057,0,6.44531,6.44531,26,0,0,0,0,0,0.000182,0,-6.943e-06,ok,0
BBMSCore,500,4,0.0520483,0,6.44531,9.26172,1472,0,0,0,0,2,0.05203,0,1.8347e-05,ok,1
BBMSInter,500,4,0.0233734,0,6.44531,16.875,3425,0,0,0,0,0,0.02338,0,-6.611e-06,ok,1
BBMSDppInstant,500,4,0.0644496,0,6.44531,58.7305,14158,0,0,0,0,2,0.045004,0.01943,1.5572e-05,ok,1
BBMSDppStepwise,500,4,0.0708757,0,6.44531,56.75,13667,0,0,0,0,2,0.049553,0.021308,1.4696e-05,ok,1
DijkstraPrims,500,4,0.000171912,0,6.44531,6.44531,26,0,0,0,0,0,0.000179,0,-7.088e-06,ok,1
BBMSCore,500,4,0.0519166,0,6.44531,9.24219,1472,0,0,0,0,1,0.051911,0,5.635e-06,ok,2
BBMSInter,500,4,0.0234711,0,6.44531,16.8633,3425,0,0,0,0,0,0.023477,0,-5.914e-06,ok,2
BBMSDppInstant,500,4,0.0638381,0,6.44531,58.7422,14158,0,0,0,0,2,0.044571,0.019239,2.8144e-05,ok,2
BBMSDppStepwise,500,4,0.0723733,0,6.44922,56.7422,13667,0,0,0,0,0,0.039768,0.032613,-7.72e-06,ok,2
DijkstraPrims,500,4,0.000174352,0,6.44922,6.44922,26,0,0,0,0,0,0.000182,0,-7.648e-06,ok,2
BBMSCore,830,0,0.22989,0,6.44922,19.3711,4050,0,0,0,0,1,0.229886,0,4.305e-06,ok,0
BBMSInter,830,0,0.0822181,0,6.44922,40.3672,9432,0,0,0,0,1,0.071661,0.010542,1.5145e-05,ok,0
