algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
BBMSCore,0,799,2201,1758599,2729.88,1999163494,0,1999163494,0,0,0,0,0,0,0,-1,1758599,100,ok
BBMSInter,0,799,2201,1758599,2729.88,1738766,38609472,40348238,3514198,0,0,0,0,0,0,-1,1758599,100,ok
BBMSDppInstant,0,799,2201,1758599,2729.88,1738766,9681032,11419798,3514198,85076,7365806,85076,0,0,0,-1,1758599,100,ok
BBMSDppStepwise,0,799,2201,1758599,2729.88,1738766,9681032,11419798,3514198,85076,1470653,1256122,0,0,0,-1,1758599,100,ok
DijkstraPrims,0,799,2201,1758599,2729.88,0,0,0,0,0,0,0,1751128,1750881,4410,2209.1,1750881,99.5611,ok
BBMSCore,1,799,53,42347,4411.78,51323310,0,51323310,0,0,0,0,0,0,0,-1,42347,100,ok
BBMSInter,1,799,53,42347,4411.78,65792,2986965,3052757,83047,0,0,0,0,0,0,-1,42347,100,ok
BBMSDppInstant,1,799,53,42347,4411.78,65792,191782,257574,83047,4059,16796,4059,0,0,0,-1,42347,100,ok
BBMSDppStepwise,1,799,53,42347,4411.78,65792,191782,257574,83047,4059,16065,11863,0,0,0,-1,42347,100,ok
DijkstraPrims,1,799,53,42347,4411.78,0,0,0,0,0,0,0,11685,11620,75,65.7116,11620,27.44,ok
BBMSCore,2,799,846,675954,16090.1,468577398,0,468577398,0,0,0,0,0,0,0,-1,675954,100,ok
BBMSInter,2,799,846,675954,16090.1,976050,17118747,18094797,1349976,0,0,0,0,0,0,-1,675954,100,ok
BBMSDppInstant,2,799,846,675954,16090.1,976050,3256081,4232131,1349976,47896,432409,47896,0,0,0,-1,675954,100,ok
BBMSDppStepwise,2,799,846,675954,16090.1,976050,3256081,4232131,1349976,47896,329941,269292,0,0,0,-1,675954,100,ok
DijkstraPrims,2,799,846,675954,16090.1,0,0,0,0,0,0,0,516344,515245,3626,2361.46,515245,76.2249,ok
BBMSCore,3,799,903,721497,15919.1,706694520,0,706694520,0,0,0,0,0,0,0,-1,721497,100,ok
BBMSInter,3,799,903,721497,15919.1,808498,6630995,7439493,1440497,0,0,0,0,0,0,-1,721497,100,ok
BBMSDppInstant,3,799,903,721497,15919.1,808498,3825823,4634321,1440497,11404,5404275,11404,0,0,0,-1,721497,100,ok
BBMSDppStepwise,3,799,903,721497,15919.1,808498,3825823,4634321,1440497,11404,444381,343969,0,0,0,-1,721497,100,ok
DijkstraPrims,3,799,903,721497,15919.1,0,0,0,0,0,0,0,458877,457559,1800,1496.95,457559,63.418,ok
BBMSCore,4,799,199,159001,16625,64607706,0,64607706,0,0,0,0,0,0,0,-1,159001,100,ok
BBMSInter,4,799,199,159001,16625,86708,9506751,9593459,317004,0,0,0,0,0,0,-1,159001,100,ok
BBMSDppInstant,4,799,199,159001,16625,86708,975965,1062673,317004,16497,495955,16497,0,0,0,-1,159001,100,ok
BBMSDppStepwise,4,799,199,159001,16625,86708,975965,1062673,317004,16497,173444,141445,0,0,0,-1,159001,100,ok
DijkstraPrims,4,799,199,159001,16625,0,0,0,0,0,0,0,158951,158922,926,670.38,158922,99.9503,ok
BBMSCore,5,799,223,178177,12420.5,61241984,0,61241984,0,0,0,0,0,0,0,-1,178177,100,ok
BBMSInter,5,799,223,178177,12420.5,105012,4069549,4174561,355332,0,0,0,0,0,0,-1,178177,100,ok
