algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,0,799,2201,1758599,3.89422,2729.88,39.3828,43.8672,10334,0,0,0,0,22,3.88392,0.010017,0.00028005,ok,0
BBMSInter,0,799,2201,1758599,0.269233,2729.88,39.3828,97.5,24073,0,0,0,0,3,0.233383,0.035818,3.1686e-05,ok,0
BBMSDppInstant,0,799,2201,1758599,0.483247,2729.88,39.3828,415.461,107022,0,0,0,0,6,0.321142,0.162051,5.3791e-05,ok,0
BBMSDppStepwise,0,799,2201,1758599,0.622471,2729.88,39.3828,355.469,90504,0,0,0,0,6,0.493373,0.129035,6.2711e-05,ok,0
DijkstraPrims,0,799,2201,1758599,0.327164,2729.88,39.3828,81.2031,25001,0,0,0,0,1,0.277141,0.050013,1.0091e-05,ok,0
BBMSCore,0,799,2201,1758599,3.86171,2729.88,39.3828,43.8672,10334,0,0,0,0,16,3.85133,0.010011,0.000371056,ok,1
BBMSInter,0,799,2201,1758599,0.264387,2729.88,39.3828,97.6055,24073,0,0,0,0,0,0.244586,0.019812,-1.1084e-05,ok,1
BBMSDppInstant,0,799,2201,1758599,0.474887,2729.88,39.3828,415.395,107022,0,0,0,0,2,0.325562,0.149321,4.468e-06,ok,1
BBMSDppStepwise,0,799,2201,1758599,0.619228,2729.88,39.3828,355.457,90504,0,0,0,0,3,0.488758,0.130451,1.9489e-05,ok,1
DijkstraPrims,0,799,2201,1758599,0.335567,2729.88,39.3867,81.2188,25001,0,0,0,0,3,0.325574,0.009954,3.9164e-05,ok,1
BBMSCore,0,799,2201,1758599,3.8381,2729.88,39.3867,43.8672,10334,0,0,0,0,19,3.82756,0.010001,0.000536611,ok,2
BBMSInter,0,799,2201,1758599,0.267302,2729.88,39.3867,97.625,24073,0,0,0,0,0,0.227259,0.040053,-9.942e-06,ok,2
BBMSDppInstant,0,799,2201,1758599,0.478162,2729.88,39.3867,415.453,107022,0,0,0,0,2,0.397966,0.080194,1.903e-06,ok,2
BBMSDppStepwise,0,799,2201,1758599,0.620938,2729.88,39.3867,355.48,90504,0,0,0,0,2,0.502093,0.118839,5.59e-06,ok,2
DijkstraPrims,0,799,2201,1758599,0.327559,2729.88,39.3867,81.2266,25001,0,0,0,0,2,0.297481,0.030047,3.0855e-05,ok,2
BBMSCore,1,799,53,42347,0.103105,4411.78,39.3906,39.3906,261,0,0,0,0,0,0.096933,0.006181,-8.805e-06,ok,0
BBMSInter,1,799,53,42347,0.0187923,4411.78,39.3906,39.3906,591,0,0,0,0,0,0.018799,0,-6.679e-06,ok,0
BBMSDppInstant,1,799,53,42347,0.00723654,4411.78,39.3906,39.3906,2193,0,0,0,0,0,0.007244,0,-7.455e-06,ok,0
BBMSDppStepwise,1,799,53,42347,0.00740788,4411.78,39.3906,39.3906,2174,0,0,0,0,1,0,0.007396,1.188e-05,ok,0
DijkstraPrims,1,799,53,42347,0.00137125,4411.78,39.3906,39.3906,142,0,0,0,0,0,0.001377,0,-5.746e-06,ok,0
BBMSCore,1,799,53,42347,0.103249,4411.78,39.3906,39.3906,261,0,0,0,0,2,0.096582,0.00662,4.6867e-05,ok,1
BBMSInter,1,799,53,42347,0.0187264,4411.78,39.3906,39.3906,591,0,0,0,0,0,0.018734,0,-7.559e-06,ok,1
BBMSDppInstant,1,799,53,42347,0.00686121,4411.78,39.3906,39.3906,2193,0,0,0,0,0,0,0.006867,-5.794e-06,ok,1
BBMSDppStepwise,1,799,53,42347,0.00708057,4411.78,39.3906,39.3906,2174,0,0,0,0,0,0,0.007086,-5.434e-06,ok,1
DijkstraPrims,1,799,53,42347,0.00138046,4411.78,39.3906,39.3906,142,0,0,0,0,0,0.001386,0,-5.539e-06,ok,1
BBMSCore,1,799,53,42347,0.103139,4411.78,39.3945,39.3945,261,0,0,0,0,3,0.103096,0,4.2578e-05,ok,2
BBMSInter,1,799,53,42347,0.0187254,4411.78,39.3945,39.3945,591,0,0,0,0,0,0.018732,0,-6.616e-06,ok,2
BBMSDppInstant,1,799,53,42347,0.00689262,4411.78,39.3945,39.3945,2193,0,0,0,0,0,0.006898,0,-5.384e-06,ok,2
BBMSDppStepwise,1,799,53,42347,0.00710001,4411.78,39.3945,39.3945,2174,0,0,0,0,0,0.007106,0,-5.995e-06,ok,2
DijkstraPrims,1,799,53,42347,0.00138198,4411.78,39.3945,39.3945,142,0,0,0,0,0,0.001388,0,-6.019e-06,ok,2
BBMSCore,2,799,846,675954,1.45021,16090.1,39.3984,39.3984,3977,0,0,0,0,7,1.45001,0,0.000203815,ok,0
BBMSInter,2,799,846,675954,0.194847,16090.1,39.3984,39.7422,9258,0,0,0,0,1,0.184897,0.009947,3.116e-06,ok,0
BBMSDppInstant,2,799,846,675954,0.138679,16090.1,39.3984,142.094,35699,0,0,0,0,2,0.118276,0.020377,2.5852e-05,ok,0
BBMSDppStepwise,2,799,846,675954,0.152571,16090.1,39.3984,139.141,34900,0,0,0,0,3,0.142097,0.010439,3.5248e-05,ok,0
DijkstraPrims,2,799,846,675954,0.1025,16090.1,39.3984,39.3984,6771,0,0,0,0,1,0.102486,0,1.4133e-05,ok,0
BBMSCore,2,799,846,675954,1.46124,16090.1,39.3984,39.3984,3977,0,0,0,0,4,1.46102,0,0.000221521,ok,1
BBMSInter,2,799,846,675954,0.194406,16090.1,39.3984,39.7344,9258,0,0,0,0,1,0.184473,0.009918,1.5055e-05,ok,1
BBMSDppInstant,2,799,846,675954,0.139015,16090.1,39.3984,142.094,35699,0,0,0,0,3,0.07771,0.061268,3.716e-05,ok,1
BBMSDppStepwise,2,799,846,675954,0.152694,16090.1,39.3984,139.145,34900,0,0,0,0,2,0.142225,0.01044,2.8561e-05,ok,1
DijkstraPrims,2,799,846,675954,0.102499,16090.1,39.3984,39.3984,6771,0,0,0,0,1,0.091849,0.010645,4.809e-06,ok,1
BBMSCore,2,799,846,675954,1.45056,16090.1,39.3984,39.3984,3977,0,0,0,0,5,1.45034,0,0.000212662,ok,2
BBMSInter,2,799,846,675954,0.194919,16090.1,39.3984,39.7422,9258,0,0,0,0,2,0.18495,0.009943,2.5508e-05,ok,2
BBMSDppInstant,2,799,846,675954,0.139718,16090.1,39.3984,142.094,35699,0,0,0,0,3,0.108883,0.03079,4.4813e-05,ok,2
BBMSDppStepwise,2,799,846,675954,0.154623,16090.1,39.3984,139.129,34900,0,0,0,0,2,0.14403,0.010568,2.5047e-05,ok,2
DijkstraPrims,2,799,846,675954,0.102032,16090.1,39.3984,39.3984,6771,0,0,0,0,1,0.080828,0.021194,1.0129e-05,ok,2
BBMSCore,3,799,903,721497,2.99844,15919.1,39.4023,39.4023,4244,0,0,0,0,18,2.98804,0.010008,0.000388397,ok,0
BBMSInter,3,799,903,721497,0.0451259,15919.1,39.4023,42.1172,9881,0,0,0,0,0,0.035137,0.009998,-9.116e-06,ok,0
BBMSDppInstant,3,799,903,721497,0.193139,15919.1,39.4023,191.293,48609,0,0,0,0,1,0.153554,0.039569,1.5847e-05,ok,0
BBMSDppStepwise,3,799,903,721497,0.182978,15919.1,39.4023,147.418,37018,0,0,0,0,3,0.133546,0.049378,5.3596e-05,ok,0
DijkstraPrims,3,799,903,721497,0.098417,15919.1,39.4023,39.4023,6316,0,0,0,0,2,0.093739,0.004659,1.898e-05,ok,0
BBMSCore,3,799,903,721497,3.10671,15919.1,39.4023,39.4023,4244,0,0,0,0,11,3.09631,0.010003,0.000404306,ok,1
BBMSInter,3,799,903,721497,0.0432632,15919.1,39.4023,42.0898,9881,0,0,0,0,1,0.043248,0,1.5238e-05,ok,1
BBMSDppInstant,3,799,903,721497,0.192484,15919.1,39.4023,191.289,48609,0,0,0,0,2,0.113622,0.078832,3.0206e-05,ok,1
BBMSDppStepwise,3,799,903,721497,0.17942,15919.1,39.4023,147.43,37018,0,0,0,0,1,0.130966,0.04845,4.015e-06,ok,1
DijkstraPrims,3,799,903,721497,0.0965504,15919.1,39.4023,39.4023,6316,0,0,0,0,1,0.096539,0,1.1418e-05,ok,1
BBMSCore,3,799,903,721497,3.01894,15919.1,39.4023,39.4023,4244,0,0,0,0,10,3.0188,0,0.000140399,ok,2
BBMSInter,3,799,903,721497,0.0432241,15919.1,39.4062,42.1094,9881,0,0,0,0,0,0.043233,0,-8.879e-06,ok,2
BBMSDppInstant,3,799,903,721497,0.192504,15919.1,39.4062,191.289,48609,0,0,0,0,0,0.130175,0.062341,-1.1613e-05,ok,2
BBMSDppStepwise,3,799,903,721497,0.179708,15919.1,39.4062,147.418,37018,0,0,0,0,2,0.138708,0.040977,2.3091e-05,ok,2
DijkstraPrims,3,799,903,721497,0.0978071,15919.1,39.4102,39.4102,6316,0,0,0,0,0,0.08757,0.010247,-9.884e-06,ok,2
BBMSCore,4,799,199,159001,0.198591,16625,39.4102,39.4102,944,0,0,0,0,2,0.198547,0,4.3936e-05,ok,0
BBMSInter,4,799,199,159001,0.0721221,16625,39.4141,39.4141,2186,0,0,0,0,1,0.072118,0,4.099e-06,ok,0
BBMSDppInstant,4,799,199,159001,0.0407003,16625,39.4141,40.2969,9529,0,0,0,0,0,0.031537,0.009173,-9.708e-06,ok,0
BBMSDppStepwise,4,799,199,159001,0.045489,16625,39.4141,39.4141,8368,0,0,0,0,2,0.045459,0,3.0004e-05,ok,0
DijkstraPrims,4,799,199,159001,0.0239127,16625,39.4141,39.4141,1887,0,0,0,0,0,0.023922,0,-9.262e-06,ok,0
BBMSCore,4,799,199,159001,0.19746,16625,39.4141,39.4141,944,0,0,0,0,2,0.192772,0.00468,7.87e-06,ok,1
BBMSInter,4,799,199,159001,0.0718899,16625,39.4141,39.4141,2186,0,0,0,0,2,0.052676,0.019199,1.494e-05,ok,1
BBMSDppInstant,4,799,199,159001,0.040123,16625,39.4141,40.3008,9529,0,0,0,0,1,0.04011,0,1.3012e-05,ok,1
BBMSDppStepwise,4,799,199,159001,0.0457206,16625,39.4141,39.4141,8368,0,0,0,0,1,0.025416,0.020289,1.5566e-05,ok,1
DijkstraPrims,4,799,199,159001,0.024039,16625,39.4141,39.4141,1887,0,0,0,0,0,0.024048,0,-9.005e-06,ok,1
BBMSCore,4,799,199,159001,0.197709,16625,39.4141,39.4141,944,0,0,0,0,1,0.197697,0,1.1518e-05,ok,2
BBMSInter,4,799,199,159001,0.0713054,16625,39.4141,39.4141,2186,0,0,0,0,2,0.071288,0,1.7385e-05,ok,2
BBMSDppInstant,4,799,199,159001,0.0401364,16625,39.4141,40.2695,9529,0,0,0,0,1,0.028876,0.011261,-5.64e-07,ok,2
