algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
BBMSCore,0,65,59,3835,30,129466,0,129466,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,0,65,59,3835,30,4834,40346,45180,7444,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,0,65,59,3835,30,4834,18436,23270,7444,1530,4607,1530,0,0,0,-1,3835,100,ok
BBMSDppStepwise,0,65,59,3835,30,4834,18436,23270,7444,1530,3989,3442,0,0,0,-1,3835,100,ok
DijkstraPrims,0,65,59,3835,30,0,0,0,0,0,0,0,584,297,292,159.074,297,7.74446,ok
BBMSCore,1,65,59,3835,30,126552,0,126552,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,1,65,59,3835,30,4740,39904,44644,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,1,65,59,3835,30,4740,18606,23346,7450,1582,4358,1582,0,0,0,-1,3835,100,ok
BBMSDppStepwise,1,65,59,3835,30,4740,18606,23346,7450,1582,3889,3379,0,0,0,-1,3835,100,ok
DijkstraPrims,1,65,59,3835,30,0,0,0,0,0,0,0,902,449,455,252.376,449,11.708,ok
BBMSCore,2,65,59,3835,30,125072,0,125072,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,2,65,59,3835,30,4740,39660,44400,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,2,65,59,3835,30,4740,18595,23335,7450,1594,4395,1594,0,0,0,-1,3835,100,ok
BBMSDppStepwise,2,65,59,3835,30,4740,18595,23335,7450,1594,3994,3391,0,0,0,-1,3835,100,ok
DijkstraPrims,2,65,59,3835,30,0,0,0,0,0,0,0,673,359,327,189.103,359,9.36115,ok
BBMSCore,3,65,59,3835,30,125118,0,125118,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,3,65,59,3835,30,4720,40179,44899,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,3,65,59,3835,30,4720,18620,23340,7450,1607,4592,1607,0,0,0,-1,3835,100,ok
BBMSDppStepwise,3,65,59,3835,30,4720,18620,23340,7450,1607,3957,3400,0,0,0,-1,3835,100,ok
DijkstraPrims,3,65,59,3835,30,0,0,0,0,0,0,0,730,380,353,206.855,380,9.90874,ok
BBMSCore,4,65,59,3835,30,128556,0,128556,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,4,65,59,3835,30,4612,41101,45713,7440,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,4,65,59,3835,30,4612,18779,23391,7440,1632,4596,1632,0,0,0,-1,3835,100,ok
BBMSDppStepwise,4,65,59,3835,30,4612,18779,23391,7440,1632,4159,3492,0,0,0,-1,3835,100,ok
DijkstraPrims,4,65,59,3835,30,0,0,0,0,0,0,0,516,295,234,142.881,295,7.69231,ok
BBMSCore,5,65,59,3835,30,129556,0,129556,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,5,65,59,3835,30,4700,41057,45757,7448,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,5,65,59,3835,30,4700,18650,23350,7448,1603,4470,1603,0,0,0,-1,3835,100,ok
BBMSDppStepwise,5,65,59,3835,30,4700,18650,23350,7448,1603,3953,3402,0,0,0,-1,3835,100,ok
DijkstraPrims,5,65,59,3835,30,0,0,0,0,0,0,0,909,428,486,244.731,428,11.1604,ok
BBMSCore,6,65,59,3835,30,125916,0,125916,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,6,65,59,3835,30,4718,40778,45496,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,6,65,59,3835,30,4718,18637,23355,7450,1586,4380,1586,0,0,0,-1,3835,100,ok
BBMSDppStepwise,6,65,59,3835,30,4718,18637,23355,7450,1586,3958,3417,0,0,0,-1,3835,100,ok
DijkstraPrims,6,65,59,3835,30,0,0,0,0,0,0,0,945,462,490,259.483,462,12.0469,ok
BBMSCore,7,65,59,3835,30,126380,0,126380,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,7,65,59,3835,30,4722,39605,44327,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,7,65,59,3835,30,4722,18630,23352,7450,1579,4457,1579,0,0,0,-1,3835,100,ok
BBMSDppStepwise,7,65,59,3835,30,4722,18630,23352,7450,1579,3940,3389,0,0,0,-1,3835,100,ok
DijkstraPrims,7,65,59,3835,30,0,0,0,0,0,0,0,595,300,299,163.957,300,7.82269,ok
BBMSCore,8,65,59,3835,30,124846,0,124846,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,8,65,59,3835,30,4660,38666,43326,7446,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,8,65,59,3835,30,4660,18723,23383,7446,1614,4511,1614,0,0,0,-1,3835,100,ok
BBMSDppStepwise,8,65,59,3835,30,4660,18723,23383,7446,1614,4034,3432,0,0,0,-1,3835,100,ok
DijkstraPrims,8,65,59,3835,30,0,0,0,0,0,0,0,740,371,376,199.299,371,9.67405,ok
BBMSCore,9,65,59,3835,30.06,129122,0,129122,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,9,65,59,3835,30.06,4846,39257,44103,7448,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,9,65,59,3835,30.06,4846,18429,23275,7448,1533,4587,1533,0,0,0,-1,3835,100,ok
BBMSDppStepwise,9,65,59,3835,30.06,4846,18429,23275,7448,1533,4019,3436,0,0,0,-1,3835,100,ok
DijkstraPrims,9,65,59,3835,30.06,0,0,0,0,0,0,0,1140,548,594,311.491,548,14.2894,ok
BBMSCore,10,65,59,3835,30.06,129192,0,129192,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,10,65,59,3835,30.06,4754,39700,44454,7448,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,10,65,59,3835,30.06,4754,18576,23330,7448,1567,4542,1567,0,0,0,-1,3835,100,ok
BBMSDppStepwise,10,65,59,3835,30.06,4754,18576,23330,7448,1567,4060,3444,0,0,0,-1,3835,100,ok
DijkstraPrims,10,65,59,3835,30.06,0,0,0,0,0,0,0,932,486,448,249.076,486,12.6728,ok
BBMSCore,11,65,59,3835,30,132170,0,132170,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,11,65,59,3835,30,4692,43995,48687,7450,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,11,65,59,3835,30,4692,18667,23359,7450,1611,4162,1611,0,0,0,-1,3835,100,ok
BBMSDppStepwise,11,65,59,3835,30,4692,18667,23359,7450,1611,3852,3327,0,0,0,-1,3835,100,ok
DijkstraPrims,11,65,59,3835,30,0,0,0,0,0,0,0,674,360,321,186.503,360,9.38722,ok
BBMSCore,12,65,59,3835,30,129468,0,129468,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,12,65,59,3835,30,4666,43669,48335,7444,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,12,65,59,3835,30,4666,18684,23350,7444,1604,4665,1604,0,0,0,-1,3835,100,ok
BBMSDppStepwise,12,65,59,3835,30,4666,18684,23350,7444,1604,4085,3452,0,0,0,-1,3835,100,ok
DijkstraPrims,12,65,59,3835,30,0,0,0,0,0,0,0,511,283,234,142.809,283,7.3794,ok
BBMSCore,13,65,59,3835,30,128096,0,128096,0,0,0,0,0,0,0,-1,3835,100,ok
BBMSInter,13,65,59,3835,30,4738,39934,44672,7448,0,0,0,0,0,0,-1,3835,100,ok
BBMSDppInstant,13,65,59,3835,30,4738,18605,23343,7448,1593,4480,1593,0,0,0,-1,3835,100,ok
