algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,0,65,59,3835,0.000253583,30,40.9922,40.9922,25,0,0,0,0,0,0.000262,0,-8.417e-06,ok,0
BBMSInter,0,65,59,3835,0.000255962,30,40.9922,40.9922,55,0,0,0,0,0,0.000261,0,-5.038e-06,ok,0
BBMSDppInstant,0,65,59,3835,0.000782453,30,40.9922,40.9922,219,0,0,0,0,0,0.000787,0,-4.547e-06,ok,0
BBMSDppStepwise,0,65,59,3835,0.000853347,30,40.9922,40.9922,211,0,0,0,0,0,0,0.000859,-5.653e-06,ok,0
DijkstraPrims,0,65,59,3835,8.6587e-05,30,40.9922,40.9922,11,0,0,0,0,0,9.1e-05,0,-4.413e-06,ok,0
BBMSCore,0,65,59,3835,0.00025512,30,40.9922,40.9922,25,0,0,0,0,0,0.00026,0,-4.88e-06,ok,1
BBMSInter,0,65,59,3835,0.00025038,30,40.9922,40.9922,55,0,0,0,0,0,0.000256,0,-5.62e-06,ok,1
BBMSDppInstant,0,65,59,3835,0.000796206,30,40.9922,40.9922,219,0,0,0,0,0,0.000802,0,-5.794e-06,ok,1
BBMSDppStepwise,0,65,59,3835,0.000859077,30,40.9922,40.9922,211,0,0,0,0,0,0.000864,0,-4.923e-06,ok,1
DijkstraPrims,0,65,59,3835,8.5996e-05,30,40.9922,40.9922,11,0,0,0,0,0,9.1e-05,0,-5.004e-06,ok,1
BBMSCore,0,65,59,3835,0.000251576,30,40.9922,40.9922,25,0,0,0,0,0,0.000256,0,-4.424e-06,ok,2
BBMSInter,0,65,59,3835,0.000260043,30,40.9922,40.9922,55,0,0,0,0,0,0,0.000265,-4.957e-06,ok,2
BBMSDppInstant,0,65,59,3835,0.00077255,30,40.9922,40.9922,219,0,0,0,0,0,0.000778,0,-5.45e-06,ok,2
BBMSDppStepwise,0,65,59,3835,0.000851209,30,40.9922,40.9922,211,0,0,0,0,0,0.000856,0,-4.791e-06,ok,2
DijkstraPrims,0,65,59,3835,8.8298e-05,30,40.9922,40.9922,11,0,0,0,0,0,9.4e-05,0,-5.702e-06,ok,2
BBMSCore,1,65,59,3835,0.000243495,30,40.9961,40.9961,25,0,0,0,0,0,0.000249,0,-5.505e-06,ok,0
BBMSInter,1,65,59,3835,0.000250313,30,41,41,55,0,0,0,0,0,0.000255,0,-4.687e-06,ok,0
BBMSDppInstant,1,65,59,3835,0.000774513,30,41,41,219,0,0,0,0,0,0.000779,0,-4.487e-06,ok,0
BBMSDppStepwise,1,65,59,3835,0.000837416,30,41,41,212,0,0,0,0,0,0.000843,0,-5.584e-06,ok,0
DijkstraPrims,1,65,59,3835,0.000122088,30,41,41,13,0,0,0,0,0,0.000127,0,-4.912e-06,ok,0
BBMSCore,1,65,59,3835,0.000241796,30,41,41,25,0,0,0,0,0,0.000247,0,-5.204e-06,ok,1
BBMSInter,1,65,59,3835,0.000247448,30,41,41,55,0,0,0,0,0,0,0.000252,-4.552e-06,ok,1
BBMSDppInstant,1,65,59,3835,0.000754164,30,41,41,219,0,0,0,0,0,0.000759,0,-4.836e-06,ok,1
BBMSDppStepwise,1,65,59,3835,0.000855263,30,41,41,212,0,0,0,0,0,0.00086,0,-4.737e-06,ok,1
DijkstraPrims,1,65,59,3835,0.000122418,30,41,41,13,0,0,0,0,0,0.000128,0,-5.582e-06,ok,1
BBMSCore,1,65,59,3835,0.000240364,30,41,41,25,0,0,0,0,0,0.000246,0,-5.636e-06,ok,2
BBMSInter,1,65,59,3835,0.000245761,30,41,41,55,0,0,0,0,0,0.000251,0,-5.239e-06,ok,2
BBMSDppInstant,1,65,59,3835,0.000764066,30,41,41,219,0,0,0,0,0,0.000769,0,-4.934e-06,ok,2
BBMSDppStepwise,1,65,59,3835,0.000879078,30,41,41,212,0,0,0,0,0,0,0.000884,-4.922e-06,ok,2
DijkstraPrims,1,65,59,3835,0.00012272,30,41,41,13,0,0,0,0,0,0.000128,0,-5.28e-06,ok,2
BBMSCore,2,65,59,3835,0.000243598,30,41.0039,41.0039,25,0,0,0,0,0,0.00025,0,-6.402e-06,ok,0
BBMSInter,2,65,59,3835,0.000245477,30,41.0039,41.0039,55,0,0,0,0,0,0,0.00025,-4.523e-06,ok,0
BBMSDppInstant,2,65,59,3835,0.000756427,30,41.0039,41.0039,218,0,0,0,0,0,0.000761,0,-4.573e-06,ok,0
BBMSDppStepwise,2,65,59,3835,0.000849789,30,41.0039,41.0039,212,0,0,0,0,0,0.000855,0,-5.211e-06,ok,0
DijkstraPrims,2,65,59,3835,9.9468e-05,30,41.0039,41.0039,12,0,0,0,0,0,0.000104,0,-4.532e-06,ok,0
BBMSCore,2,65,59,3835,0.000251838,30,41.0039,41.0039,25,0,0,0,0,0,0.000257,0,-5.162e-06,ok,1
BBMSInter,2,65,59,3835,0.00025528,30,41.0039,41.0039,55,0,0,0,0,0,0.00026,0,-4.72e-06,ok,1
BBMSDppInstant,2,65,59,3835,0.000763403,30,41.0039,41.0039,218,0,0,0,0,0,0.000769,0,-5.597e-06,ok,1
BBMSDppStepwise,2,65,59,3835,0.000866649,30,41.0039,41.0039,212,0,0,0,0,0,0.000872,0,-5.351e-06,ok,1
DijkstraPrims,2,65,59,3835,9.9896e-05,30,41.0039,41.0039,12,0,0,0,0,0,0.000105,0,-5.104e-06,ok,1
BBMSCore,2,65,59,3835,0.000251116,30,41.0039,41.0039,25,0,0,0,0,0,0.000256,0,-4.884e-06,ok,2
BBMSInter,2,65,59,3835,0.000251572,30,41.0039,41.0039,55,0,0,0,0,0,0.000257,0,-5.428e-06,ok,2
BBMSDppInstant,2,65,59,3835,0.000788503,30,41.0039,41.0039,218,0,0,0,0,0,0.000794,0,-5.497e-06,ok,2
BBMSDppStepwise,2,65,59,3835,0.00084033,30,41.0039,41.0039,212,0,0,0,0,0,0.000846,0,-5.67e-06,ok,2
DijkstraPrims,2,65,59,3835,9.6429e-05,30,41.0078,41.0078,12,0,0,0,0,0,0.000101,0,-4.571e-06,ok,2
BBMSCore,3,65,59,3835,0.000256048,30,41.0117,41.0117,25,0,0,0,0,0,0.000263,0,-6.952e-06,ok,0
BBMSInter,3,65,59,3835,0.00026272,30,41.0156,41.0156,55,0,0,0,0,0,0.000269,0,-6.28e-06,ok,0
BBMSDppInstant,3,65,59,3835,0.000783467,30,41.0156,41.0156,220,0,0,0,0,0,0.000789,0,-5.533e-06,ok,0
BBMSDppStepwise,3,65,59,3835,0.000865849,30,41.0156,41.0156,212,0,0,0,0,0,0,0.000871,-5.151e-06,ok,0
DijkstraPrims,3,65,59,3835,0.000103126,30,41.0156,41.0156,12,0,0,0,0,0,0.000108,0,-4.874e-06,ok,0
BBMSCore,3,65,59,3835,0.000252367,30,41.0156,41.0156,25,0,0,0,0,0,0.000257,0,-4.633e-06,ok,1
BBMSInter,3,65,59,3835,0.000258404,30,41.0156,41.0156,55,0,0,0,0,0,0.000264,0,-5.596e-06,ok,1
BBMSDppInstant,3,65,59,3835,0.00079622,30,41.0156,41.0156,220,0,0,0,0,0,0.000802,0,-5.78e-06,ok,1
BBMSDppStepwise,3,65,59,3835,0.00087611,30,41.0156,41.0156,212,0,0,0,0,0,0.000882,0,-5.89e-06,ok,1
DijkstraPrims,3,65,59,3835,0.000103275,30,41.0156,41.0156,12,0,0,0,0,0,0.000108,0,-4.725e-06,ok,1
BBMSCore,3,65,59,3835,0.000258543,30,41.0156,41.0156,25,0,0,0,0,0,0.000263,0,-4.457e-06,ok,2
BBMSInter,3,65,59,3835,0.000271165,30,41.0156,41.0156,55,0,0,0,0,0,0.000276,0,-4.835e-06,ok,2
BBMSDppInstant,3,65,59,3835,0.000771615,30,41.0156,41.0156,220,0,0,0,0,0,0.000777,0,-5.385e-06,ok,2
BBMSDppStepwise,3,65,59,3835,0.000847615,30,41.0156,41.0156,212,0,0,0,0,0,0.000853,0,-5.385e-06,ok,2
DijkstraPrims,3,65,59,3835,0.000104039,30,41.0156,41.0156,12,0,0,0,0,0,0.00011,0,-5.961e-06,ok,2
BBMSCore,4,65,59,3835,0.000253004,30,41.0195,41.0195,25,0,0,0,0,0,0.000258,0,-4.996e-06,ok,0
BBMSInter,4,65,59,3835,0.000258688,30,41.0195,41.0195,55,0,0,0,0,0,0.000263,0,-4.312e-06,ok,0
BBMSDppInstant,4,65,59,3835,0.000805543,30,41.0195,41.0195,220,0,0,0,0,0,0.000811,0,-5.457e-06,ok,0
BBMSDppStepwise,4,65,59,3835,0.000860052,30,41.0195,41.0195,212,0,0,0,0,0,0.000865,0,-4.948e-06,ok,0
DijkstraPrims,4,65,59,3835,7.5112e-05,30,41.0195,41.0195,8,0,0,0,0,0,8e-05,0,-4.888e-06,ok,0
BBMSCore,4,65,59,3835,0.000252965,30,41.0195,41.0195,25,0,0,0,0,0,0.000258,0,-5.035e-06,ok,1
BBMSInter,4,65,59,3835,0.000260757,30,41.0195,41.0195,55,0,0,0,0,0,0.000266,0,-5.243e-06,ok,1
BBMSDppInstant,4,65,59,3835,0.000831236,30,41.0195,41.0195,220,0,0,0,0,0,0.000837,0,-5.764e-06,ok,1
BBMSDppStepwise,4,65,59,3835,0.000974777,30,41.0195,41.0195,212,0,0,0,0,0,0.00098,0,-5.223e-06,ok,1
DijkstraPrims,4,65,59,3835,7.3902e-05,30,41.0195,41.0195,8,0,0,0,0,0,7.9e-05,0,-5.098e-06,ok,1
BBMSCore,4,65,59,3835,0.000253272,30,41.0195,41.0195,25,0,0,0,0,0,0.000258,0,-4.728e-06,ok,2
BBMSInter,4,65,59,3835,0.000254651,30,41.0195,41.0195,55,0,0,0,0,0,0.000259,0,-4.349e-06,ok,2
BBMSDppInstant,4,65,59,3835,0.000798522,30,41.0195,41.0195,220,0,0,0,0,0,0.000803,0,-4.478e-06,ok,2
BBMSDppStepwise,4,65,59,3835,0.000858166,30,41.0195,41.0195,212,0,0,0,0,0,0.000864,0,-5.834e-06,ok,2
DijkstraPrims,4,65,59,3835,7.3167e-05,30,41.0195,41.0195,8,0,0,0,0,0,7.8e-05,0,-4.833e-06,ok,2
BBMSCore,5,65,59,3835,0.000238484,30,41.0234,41.0234,25,0,0,0,0,0,0.000245,0,-6.516e-06,ok,0
BBMSInter,5,65,59,3835,0.000244725,30,41.0234,41.0234,55,0,0,0,0,0,0.00025,0,-5.275e-06,ok,0
BBMSDppInstant,5,65,59,3835,0.000805035,30,41.0234,41.0234,219,0,0,0,0,0,0.00081,0,-4.965e-06,ok,0
BBMSDppStepwise,5,65,59,3835,0.000851999,30,41.0273,41.0273,212,0,0,0,0,0,0.000857,0,-5.001e-06,ok,0
DijkstraPrims,5,65,59,3835,0.000133561,30,41.0273,41.0273,13,0,0,0,0,0,0.000139,0,-5.439e-06,ok,0
BBMSCore,5,65,59,3835,0.000237339,30,41.0273,41.0273,25,0,0,0,0,0,0.000243,0,-5.661e-06,ok,1
BBMSInter,5,65,59,3835,0.000271855,30,41.0273,41.0273,55,0,0,0,0,0,0.000277,0,-5.145e-06,ok,1
BBMSDppInstant,5,65,59,3835,0.000773518,30,41.0273,41.0273,219,0,0,0,0,0,0.000779,0,-5.482e-06,ok,1
BBMSDppStepwise,5,65,59,3835,0.00082242,30,41.0273,41.0273,212,0,0,0,0,0,0.000828,0,-5.58e-06,ok,1
DijkstraPrims,5,65,59,3835,0.000125446,30,41.0273,41.0273,13,0,0,0,0,0,0.00013,0,-4.554e-06,ok,1
BBMSCore,5,65,59,3835,0.000235405,30,41.0273,41.0273,25,0,0,0,0,0,0,0.00024,-4.595e-06,ok,2
BBMSInter,5,65,59,3835,0.00025153,30,41.0273,41.0273,55,0,0,0,0,0,0.000256,0,-4.47e-06,ok,2
BBMSDppInstant,5,65,59,3835,0.000759901,30,41.0273,41.0273,219,0,0,0,0,0,0.000766,0,-6.099e-06,ok,2
BBMSDppStepwise,5,65,59,3835,0.000874293,30,41.0273,41.0273,212,0,0,0,0,0,0.000879,0,-4.707e-06,ok,2
DijkstraPrims,5,65,59,3835,0.000122006,30,41.0273,41.0273,13,0,0,0,0,0,0.000127,0,-4.994e-06,ok,2
BBMSCore,6,65,59,3835,0.000236637,30,41.0312,41.0312,25,0,0,0,0,0,0.000242,0,-5.363e-06,ok,0
BBMSInter,6,65,59,3835,0.000250205,30,41.0312,41.0312,55,0,0,0,0,0,0.000256,0,-5.795e-06,ok,0
