algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
BBMSInter,0,20241,8768,177473088,12239,310567754,6468160431,6778728185,354903827,0,0,0,0,0,0,-1,177473088,100,ok
BBMSDppInstant,0,20241,8768,177473088,12239,310567754,776256363,1086824117,354903827,3371926,326503037,3371926,0,0,0,-1,177473088,100,ok
BBMSDppStepwise,0,20241,8768,177473088,12239,310567754,776256363,1086824117,354903827,3371926,142221071,135822639,0,0,0,-1,177473088,100,ok
DijkstraPrims,0,20241,8768,177473088,12239,0,0,0,0,0,0,0,19900240,19879693,28571,14662,19879693,11.2015,ok
BBMSInter,1,20241,12609,255218769,11984.3,464234016,6432043967,6896277983,510392895,0,0,0,0,0,0,-1,255218769,100,ok
BBMSDppInstant,1,20241,12609,255218769,11984.3,464234016,1089949232,1554183248,510392895,5244107,470271953,5244107,0,0,0,-1,255218769,100,ok
BBMSDppStepwise,1,20241,12609,255218769,11984.3,464234016,1089949232,1554183248,510392895,5244107,244319794,236464725,0,0,0,-1,255218769,100,ok
DijkstraPrims,1,20241,12609,255218769,11984.3,0,0,0,0,0,0,0,162475811,162424969,170845,86467.4,162424969,63.6415,ok
BBMSInter,2,20241,6833,138306753,15406.8,266569410,13716102095,13982671505,276569095,0,0,0,0,0,0,-1,138306753,100,ok
BBMSDppInstant,2,20241,6833,138306753,15406.8,266569410,568103495,834672905,276569095,2725324,140002288,2725324,0,0,0,-1,138306753,100,ok
BBMSDppStepwise,2,20241,6833,138306753,15406.8,266569410,568103495,834672905,276569095,2725324,122462569,119574885,0,0,0,-1,138306753,100,ok
DijkstraPrims,2,20241,6833,138306753,15406.8,0,0,0,0,0,0,0,10393648,10382324,24664,8577.14,10382324,7.50674,ok
BBMSInter,3,20241,16688,337781808,12514,644225960,20213399182,20857625142,675514603,0,0,0,0,0,0,-1,337781808,100,ok
DijkstraPrims,3,20241,16688,337781808,12514,0,0,0,0,0,0,0,3570368,3530644,39758,21647.8,3530644,1.04524,ok
DijkstraPrims,4,20241,53741,1087771581,34445.9,0,0,0,0,0,0,0,272675752,272569152,232473,59365.5,272569152,25.0576,ok
BBMSInter,5,20241,4385,88756785,12745.9,162871062,3464364059,3627235121,177483125,0,0,0,0,0,0,-1,88756785,100,ok
BBMSDppInstant,5,20241,4385,88756785,12745.9,162871062,376818048,539689110,177483125,1988692,122057323,1988692,0,0,0,-1,88756785,100,ok
BBMSDppStepwise,5,20241,4385,88756785,12745.9,162871062,376818048,539689110,177483125,1988692,76955161,74503566,0,0,0,-1,88756785,100,ok
DijkstraPrims,5,20241,4385,88756785,12745.9,0,0,0,0,0,0,0,3090991,3067436,23700,8408.12,3067436,3.456,ok
BBMSInter,6,20241,14488,293251608,15387.1,566230794,14923222803,15489453597,586463078,0,0,0,0,0,0,-1,293251608,100,ok
BBMSDppInstant,6,20241,14488,293251608,15387.1,566230794,1203171900,1769402694,586463078,5912801,351482167,5912801,0,0,0,-1,293251608,100,ok
BBMSDppStepwise,6,20241,14488,293251608,15387.1,566230794,1203171900,1769402694,586463078,5912801,280180115,273954045,0,0,0,-1,293251608,100,ok
DijkstraPrims,6,20241,14488,293251608,15387.1,0,0,0,0,0,0,0,19292626,19274875,25078,15222.3,19274875,6.57281,ok
