algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,0,20241,8768,177473088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,0
BBMSInter,0,20241,8768,177473088,95.5256,12239,41.7578,9482.97,2426825,0,0,0,0,409,92.5525,2.96985,0.00330519,ok,0
BBMSDppInstant,0,20241,8768,177473088,80.2249,12239,41.7617,37783.6,9761707,0,0,0,0,326,68.012,12.2092,0.00371384,ok,0
BBMSDppStepwise,0,20241,8768,177473088,136.62,12239,41.7617,35143.7,9050423,0,0,0,0,588,125.004,11.6097,0.00606489,ok,0
DijkstraPrims,0,20241,8768,177473088,4.86003,12239,41.7617,800.375,250482,0,0,0,0,23,4.5194,0.340205,0.000421301,ok,0
BBMSCore,0,20241,8768,177473088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,1
BBMSInter,0,20241,8768,177473088,93.3533,12239,41.7617,9482.96,2426825,0,0,0,0,377,90.43,2.91979,0.00356796,ok,1
BBMSDppInstant,0,20241,8768,177473088,79.366,12239,41.7617,37783.4,9761707,0,0,0,0,318,66.9629,12.3993,0.00378636,ok,1
BBMSDppStepwise,0,20241,8768,177473088,135.758,12239,41.7617,35143.8,9050423,0,0,0,0,534,124.032,11.7195,0.0060609,ok,1
DijkstraPrims,0,20241,8768,177473088,4.85421,12239,41.7617,800.375,250482,0,0,0,0,17,4.53421,0.319828,0.000179287,ok,1
BBMSCore,0,20241,8768,177473088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,2
BBMSInter,0,20241,8768,177473088,88.8397,12239,41.7617,9482.98,2426825,0,0,0,0,311,85.897,2.94002,0.00270262,ok,2
BBMSDppInstant,0,20241,8768,177473088,77.1938,12239,41.7617,37783.6,9761707,0,0,0,0,312,65.1105,12.0789,0.00444294,ok,2
BBMSDppStepwise,0,20241,8768,177473088,135.647,12239,41.7617,35143.7,9050423,0,0,0,0,565,124.349,11.292,0.00638949,ok,2
DijkstraPrims,0,20241,8768,177473088,4.81949,12239,41.7617,800.297,250482,0,0,0,0,23,4.5397,0.279578,0.000211735,ok,2
BBMSCore,1,20241,12609,255218769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,0
BBMSInter,1,20241,12609,255218769,91.3445,11984.3,41.7656,13635.1,3489801,0,0,0,0,326,87.1906,4.14986,0.00398345,ok,0
BBMSDppInstant,1,20241,12609,255218769,107.662,11984.3,41.7656,54433.8,14084236,0,0,0,0,440,90.4302,17.2257,0.00596635,ok,0
BBMSDppStepwise,1,20241,12609,255218769,248.418,11984.3,41.7656,50654.8,13021227,0,0,0,0,993,232.477,15.9295,0.0113416,ok,0
DijkstraPrims,1,20241,12609,255218769,34.5803,11984.3,41.7656,6538.07,2063181,0,0,0,0,138,32.0586,2.51959,0.00206664,ok,0
BBMSCore,1,20241,12609,255218769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,1
BBMSInter,1,20241,12609,255218769,92.6146,11984.3,41.7656,13635.2,3489801,0,0,0,0,329,88.4314,4.17989,0.00334492,ok,1
BBMSDppInstant,1,20241,12609,255218769,108.33,11984.3,41.7656,54433.8,14084236,0,0,0,0,432,90.4665,17.8586,0.00511509,ok,1
BBMSDppStepwise,1,20241,12609,255218769,247.666,11984.3,41.7656,50654.9,13021227,0,0,0,0,981,231.366,16.2894,0.0109707,ok,1
DijkstraPrims,1,20241,12609,255218769,34.5312,11984.3,41.7656,6538,2063181,0,0,0,0,139,32.0098,2.51969,0.00173587,ok,1
BBMSCore,1,20241,12609,255218769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,2
BBMSInter,1,20241,12609,255218769,95.4819,11984.3,41.7656,13635.2,3489801,0,0,0,0,353,91.2975,4.18018,0.00424451,ok,2
BBMSDppInstant,1,20241,12609,255218769,107.847,11984.3,41.7656,54433.8,14084236,0,0,0,0,421,90.6744,17.1665,0.00588509,ok,2
BBMSDppStepwise,1,20241,12609,255218769,247.847,11984.3,41.7656,50654.7,13021227,0,0,0,0,986,231.479,16.3564,0.0113668,ok,2
DijkstraPrims,1,20241,12609,255218769,34.5178,11984.3,41.7656,6538.06,2063181,0,0,0,0,131,31.8667,2.64939,0.00169112,ok,2
BBMSCore,2,20241,6833,138306753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,timeout,0
BBMSInter,2,20241,6833,138306753,71.1895,15406.8,41.7695,7391.25,1891326,0,0,0,0,258,68.9161,2.27098,0.00244128,ok,0
BBMSDppInstant,2,20241,6833,138306753,123.388,15406.8,41.7695,28531.8,7427368,0,0,0,0,489,113.902,9.47995,0.00599848,ok,0
BBMSDppStepwise,2,20241,6833,138306753,144.891,15406.8,41.7695,27460.3,7056151,0,0,0,0,567,136.825,8.05943,0.00720844,ok,0
